author,title,journal,abstract,doi,ID,database,status,new_ID
Hazra M.,An Observational Neuropharmacological Analytical Research Study on the Pharmacogenomic Mechanisms of Brain Organoids,Int. J. Toxicol. Pharmacol. Res,"Introduction: Brain organoids recapitulate in vitro the specific stages of in vivo human brain development, thus offering an innovative tool by which to model human neurodevelopmental disease. Brain organoids can model congenital structural deficits or be subjected to environmental insult. Objective(s): The objective of this study was an observational analytical molecular neuropharmacological research study on the pharmacogenomic mechanisms of brain organoids. Method(s): In this study, at first, the records were identified, through database searching. The additional records were identified through other sources, which included the screened records, after the irrelevant studies were removed. From these screened records, few records were excluded, as per the exclusion criteria. Then, the full text articles were assessed for eligibility, from which few full text articles were excluded, according to the exclusion criteria, with adequate reasons. Then, rest of the studies were included, according to the inclusion criteria for the neuropharmacological analytical research study on the pharmacogenomic mechanisms of brain organoids. An observational analytical molecular neuropharmacological research study was also conducted. Result(s): This descriptive observational analytical research study described the molecular neuropharmacological and pharmacogenomic mechanisms of brain organoids, which elaborated this molecular pharmacological research analysis. Conclusion(s): To conclude, this observational clinical research provided a descriptive analysis on the pharmacogenomic mechanisms of brain organoids.",NA,2057,EMBASE,k,
Hazra M.,An Observational Neuropharmacological Analytical Research Study on the Pharmacogenomic Mechanisms of Brain Organoids,Int. J. Toxicol. Pharmacol. Res,"Introduction: Brain organoids recapitulate in vitro the specific stages of in vivo human brain development, thus offering an innovative tool by which to model human neurodevelopmental disease. Brain organoids can model congenital structural deficits or be subjected to environmental insult. Objective(s): The objective of this study was an observational analytical molecular neuropharmacological research study on the pharmacogenomic mechanisms of brain organoids. Method(s): In this study, at first, the records were identified, through database searching. The additional records were identified through other sources, which included the screened records, after the irrelevant studies were removed. From these screened records, few records were excluded, as per the exclusion criteria. Then, the full text articles were assessed for eligibility, from which few full text articles were excluded, according to the exclusion criteria, with adequate reasons. Then, rest of the studies were included, according to the inclusion criteria for the neuropharmacological analytical research study on the pharmacogenomic mechanisms of brain organoids. An observational analytical molecular neuropharmacological research study was also conducted. Result(s): This descriptive observational analytical research study described the molecular neuropharmacological and pharmacogenomic mechanisms of brain organoids, which elaborated this molecular pharmacological research analysis. Conclusion(s): To conclude, this observational clinical research provided a descriptive analysis on the pharmacogenomic mechanisms of brain organoids.Copyright 2022, Dr. Yashwant Research Labs Pvt. Ltd. All rights reserved.",NA,43178,EMBASE,r,
Childs C.J. and Eiken M.K. and Spence J.R.,Approaches to benchmark and characterize in vitro human model systems,Development,"In vitro human models, such as gastruloids and organoids, are complex three-dimensional (3D) structures often consist of cells from multiple germ layers that possess some attributes of a developing embryo or organ. To use these models to interrogate human development and organogenesis, these 3D models must accurately recapitulate aspects of their in vivo counterparts. Recent advances in single-cell technologies, including sequencing and spatial approaches, have enabled efforts to better understand and directly compare organoids with native tissues. For example, single-cell genomic efforts have created cell and organ atlases that enable benchmarking of in vitro models and can also be leveraged to gain novel biological insights that can be used to further improve in vitro models. This Spotlight discusses the state of current in vitro model systems, the efforts to create large publicly available atlases of the developing human and how these data are being used to improve organoids. Limitations and perspectives on future efforts are also discussed.Copyright 2022. Published by The Company of Biologists Ltd.",10.1242/dev.200641/2176453/dev200641,43556,EMBASE,r,
Childs CJ and Eiken MK and Spence JR,Approaches to benchmark and characterize in vitro human model systems.,"Development (Cambridge, England)","In vitro human models, such as gastruloids and organoids, are complex three-dimensional (3D) structures often consist of cells from multiple germ layers that possess some attributes of a developing embryo or organ. To use these models to interrogate human development and organogenesis, these 3D models must accurately recapitulate aspects of their in vivo counterparts. Recent advances in single-cell technologies, including sequencing and spatial approaches, have enabled efforts to better understand and directly compare organoids with native tissues. For example, single-cell genomic efforts have created cell and organ atlases that enable benchmarking of in vitro models and can also be leveraged to gain novel biological insights that can be used to further improve in vitro models. This Spotlight discusses the state of current in vitro model systems, the efforts to create large publicly available atlases of the developing human and how these data are being used to improve organoids. Limitations and perspectives on future efforts are also discussed.",10.1242/dev.200641,44733,PubMed,k,
Das TK and Blasco-Conesa MP and Korf J and Honarpisheh P and Chapman MR and Ganesh BP,Bacterial Amyloid Curli Associated Gut Epithelial Neuroendocrine Activation Predominantly Observed in Alzheimer's Disease Mice with Central Amyloid- Pathology.,Journal of Alzheimer's disease : JAD,"BACKGROUND: Substantial evidence from recent research suggests an influential and underappreciated force in Alzheimer's disease (AD) pathogenesis: the pathological signals originate from outside the brain. Pathogenic bacteria produce amyloid-like proteins ""curli"" that form biofilms and show functional similarities to human amyloid- (A). These proteins may contribute to neurological disease progression via signaling cascade from the gut to the brain. OBJECTIVE: We propose that curli causes neuroendocrine activation from the gut to brain that promotes central A pathology. METHODS: PGP9.5 and TLR2 levels in response to curli in the lumen of Tg2576 AD mice were analyzed by immunohistochemical and qRT-PCR analysis. Western blot and human 3D in vitro enteroids culture systems were also used. 16S rRNA gene sequencing was used to investigate bacterial dysbiosis. RESULTS: We found significant increase in bacterial-amyloid curli with elevated TLR2 at the mRNA level in the pre- and symptomatic Tg-AD gut compared to littermate WT controls. This data associates with increased gram-positive bacterial colonization in the ileum of the symptomatic AD mice. We found fundamental evidence for vagus nerve activation in response to bacterial curli. Neuroendocrine marker PGP9.5 was significantly elevated in the gut epithelium of symptomatic AD mice, and this was colocalized with increased TLR2 expression. Enteroids, 3D-human ileal mini-gut monolayer in vitro model system also revealed increase levels of TLR2 upon stimulation with purified bacterial curli fibrils. CONCLUSION: These findings reveal the importance of pathological changes within the gut-vagus-brain signaling in response to luminal bacterial amyloid that might play a vital role in central A pathogenesis seen in the AD brain.",10.3233/jad-220106,1661,PubMed,k,
Das T.K. and Blasco-Conesa M.P. and Korf J. and Honarpisheh P. and Chapman M.R. and Ganesh B.P.,Bacterial Amyloid Curli Associated Gut Epithelial Neuroendocrine Activation Predominantly Observed in Alzheimer's Disease Mice with Central Amyloid-beta Pathology,Adv. Alzheimer's Dis,"Background: Substantial evidence from recent research suggests an influential and underappreciated force in Alzheimer's disease (AD) pathogenesis: the pathological signals originate from outside the brain. Pathogenic bacteria produce amyloid-like proteins 'curli' that form biofilms and show functional similarities to human amyloid-beta (Abeta). These proteins may contribute to neurological disease progression via signaling cascade from the gut to the brain. Objective(s): We propose that curli causes neuroendocrine activation from the gut to brain that promotes central Abeta pathology. Method(s): PGP9.5 and TLR2 levels in response to curli in the lumen of Tg2576 AD mice were analyzed by immunohisto-chemical and qRT-PCR analysis. Western blot and human 3D in vitro enteroids culture systems were also used. 16S rRNA gene sequencing was used to investigate bacterial dysbiosis. Result(s): We found significant increase in bacterial-amyloid curli with elevated TLR2 at the mRNA level in the pre- and symptomatic Tg-AD gut compared to littermate WT controls. This data associates with increased gram-positive bacterial colonization in the ileum of the symptomatic AD mice. We found fundamental evidence for vagus nerve activation in response to bacterial curli. Neuroendocrine marker PGP9.5 was significantly elevated in the gut epithelium of symptomatic AD mice, and this was colocalized with increased TLR2 expression. Enteroids, 3D-human ileal mini-gut monolayer in vitro model system also revealed increase levels of TLR2 upon stimulation with purified bacterial curli fibrils. Conclusion(s): These findings reveal the importance of pathological changes within the gut-vagus-brain signaling in response to luminal bacterial amyloid that might play a vital role in central Abeta pathogenesis seen in the AD brain.Copyright 2022 The authors and IOS Press. All rights reserved.",10.3233/aiad220010,41679,EMBASE,r,
Aasadollahei N. and Rezaei N. and Golroo R. and Agarwal T. and Vosough M. and Piryaei A.,BIOENGINEERING LIVER MICROTISSUES FOR MODELING NON-ALCOHOLIC FATTY LIVER DISEASE,EXCLI J,"Non-alcoholic fatty liver disease (NAFLD) has become the world's most common chronic liver disease. However, due to the lack of reliable in vitro NAFLD models, drug development studies have faced many limitations, and there is no food and drug administration-approved medicine for NAFLD treatment. A functional biomimetic in vitro human liver model requires an optimized natural microenvironment using appropriate cellular composition, to provide constructive cell-cell interactions, and niche-specific bio-molecules to supply crucial cues as cell-matrix interplay. Such a suitable liver model could employ appropriate and desired biochemical, mechanical, and physical properties similar to native tissue. Moreover, bioengineered three-dimensional tissues, specially microtissues and organoids, and more recently using infusion-based cultivation systems such as microfluidics can mimic natural tissue conditions and facilitate the exchange of nutrients and soluble factors to improve physiological function in the in vitro generated constructs. This review highlights the key players involved in NAFLD initiation and progression and discussed the available cells and matrices for in vitro NAFLD modeling. The strategies for optimizing the liver microenvironment to generate a powerful and biomimetic in vitro NAFLD model were described as well. Finally, the current challenges and future perospective for promotion in this subject were discussed.Copyright 2023, Leibniz Research Centre for Working Environment and Human Factors. All rights reserved.",10.17179/excli2023-5892,43701,EMBASE,k,
Aasadollahei N and Rezaei N and Golroo R and Agarwal T and Vosough M and Piryaei A,Bioengineering liver microtissues for modeling non-alcoholic fatty liver disease.,EXCLI journal,"Non-alcoholic fatty liver disease (NAFLD) has become the world's most common chronic liver disease. However, due to the lack of reliable in vitro NAFLD models, drug development studies have faced many limitations, and there is no food and drug administration-approved medicine for NAFLD treatment. A functional biomimetic in vitro human liver model requires an optimized natural microenvironment using appropriate cellular composition, to provide constructive cell-cell interactions, and niche-specific bio-molecules to supply crucial cues as cell-matrix interplay. Such a suitable liver model could employ appropriate and desired biochemical, mechanical, and physical properties similar to native tissue. Moreover, bioengineered three-dimensional tissues, specially microtissues and organoids, and more recently using infusion-based cultivation systems such as microfluidics can mimic natural tissue conditions and facilitate the exchange of nutrients and soluble factors to improve physiological function in the in vitro generated constructs. This review highlights the key players involved in NAFLD initiation and progression and discussed the available cells and matrices for in vitro NAFLD modeling. The strategies for optimizing the liver microenvironment to generate a powerful and biomimetic in vitro NAFLD model were described as well. Finally, the current challenges and future perospective for promotion in this subject were discussed.",10.17179/excli2022-5892,47993,PubMed,r,
"Kim, Yeon Soo and Hsieh, Andrew C. and Lam, Hung -Ming",Bladder Cancer Patient-derived Organoids and Avatars for Personalized Cancer Discovery,EUROPEAN UROLOGY FOCUS,"Prediction of treatment response has attracted growing attention in cancer research to improve clinical outcomes via individualized treatment regimens. Patient-derived orga-noids and xenografts are novel preclinical model systems that recapitulate the genetic and phenotypic features of parental tumors for this purpose. Organoid culture has been successfully established in multiple cancers and used for assessment of drug and immunotherapy responses. Patient-derived xenograft (PDX) models provide insights into in vivo tumor growth and metastatic potential. Continued improvements in these model systems to better maintain tumor architecture and microenvironment will advance patient-specific targeted therapies.Patient summary: This mini review describes up-to-date organoid and xenograft models of bladder cancer created using patient-derived tissue. These models are important for research and may provide information on mutations and expression patterns for cancer-related genes that are unique to each patient, and could facilitate personalized therapy for individual patients.(c) 2022 European Association of Urology. Published by Elsevier B.V. All rights reserved.",10.1016/j.euf.2022.07.0062405-4569,49104,Web of Science,r,
Kim YS and Hsieh AC and Lam HM,Bladder Cancer Patient-derived Organoids and Avatars for Personalized Cancer Discovery.,European urology focus,"Prediction of treatment response has attracted growing attention in cancer research to improve clinical outcomes via individualized treatment regimens. Patient-derived organoids and xenografts are novel preclinical model systems that recapitulate the genetic and phenotypic features of parental tumors for this purpose. Organoid culture has been successfully established in multiple cancers and used for assessment of drug and immunotherapy responses. Patient-derived xenograft (PDX) models provide insights into in vivo tumor growth and metastatic potential. Continued improvements in these model systems to better maintain tumor architecture and microenvironment will advance patient-specific targeted therapies. PATIENT SUMMARY: This mini review describes up-to-date organoid and xenograft models of bladder cancer created using patient-derived tissue. These models are important for research and may provide information on mutations and expression patterns for cancer-related genes that are unique to each patient, and could facilitate personalized therapy for individual patients.",10.1016/j.euf.2022.07.006,7789,PubMed,k,
"Juskalian, R.",Brain organoids,Technology Review,"A new method for growing human brain cells could unlock the mysteries of dementia, mental illness, and other neurological disorders. Madeline Lancaster and JuNrgen Knoblich, Institute of Molecular Biotechnology and Rudolph Tanzi and Doo Yeon Kim, Massachusetts General Hospital have developed organoids to investigate autism, schizophrenia, and epilepsy. The cells divide, take on the characteristics of, say, the cerebellum, cluster together in layers, and start to look like the discrete three-dimensional structures of a brain. If something goes wrong along the way, which is observable as the organoids grow, scientists can look for potential causes, mechanisms, and even drug treatments.",NA,11553,Scopus,u,
"Read, E. and Jowett, G.M. and Coman, D. and Neves, J.F.",Co-Culture of Murine Small Intestine Epithelial Organoids with Innate Lymphoid Cells,Journal of Visualized Experiments,"Complex co-cultures of organoids with immune cells provide a versatile tool for interrogating the bi-directional interactions that underpin the delicate balance of mucosal homeostasis. These 3D, multi-cellular systems offer a reductionist model for addressing multi-factorial diseases and resolving technical difficulties that arise when studying rare cell types such as tissue-resident innate lymphoid cells (ILCs). This article describes a murine system that combines small intestine organoids and small intestine lamina propria derived helper-like type-1 ILCs (ILC1s), which can be readily extended to other ILC or immune populations. ILCs are a tissue-resident population that is particularly enriched in the mucosa, where they promote homeostasis and rapidly respond to damage or infection. Organoid co-cultures with ILCs have already begun shedding light on new epithelial-immune signaling modules in the gut, revealing how different ILC subsets impact intestinal epithelial barrier integrity and regeneration. This protocol will enable further investigations into reciprocal interactions between epithelial and immune cells, which hold the potential to provide new insights into the mechanisms of mucosal homeostasis and inflammation.  2022 JoVE Creative Commons Attribution-NonCommercial 3.0 License.",10.3791/63554(2022),54982,Scopus,r,
Read E and Jowett GM and Coman D and Neves JF,Co-Culture of Murine Small Intestine Epithelial Organoids with Innate Lymphoid Cells.,Journal of visualized experiments : JoVE,"Complex co-cultures of organoids with immune cells provide a versatile tool for interrogating the bi-directional interactions that underpin the delicate balance of mucosal homeostasis. These 3D, multi-cellular systems offer a reductionist model for addressing multi-factorial diseases and resolving technical difficulties that arise when studying rare cell types such as tissue-resident innate lymphoid cells (ILCs). This article describes a murine system that combines small intestine organoids and small intestine lamina propria derived helper-like type-1 ILCs (ILC1s), which can be readily extended to other ILC or immune populations. ILCs are a tissue-resident population that is particularly enriched in the mucosa, where they promote homeostasis and rapidly respond to damage or infection. Organoid co-cultures with ILCs have already begun shedding light on new epithelial-immune signaling modules in the gut, revealing how different ILC subsets impact intestinal epithelial barrier integrity and regeneration. This protocol will enable further investigations into reciprocal interactions between epithelial and immune cells, which hold the potential to provide new insights into the mechanisms of mucosal homeostasis and inflammation.",10.3791/63554,2396,PubMed,k,
"Prankur, A. and Saba, H.",COVID 19 and Stem Cell Therapy: Treatment and Challenges,Research Journal of Biotechnology,"COVID-19, an extremely contagious disease is showing high rate of infection and fatality, posing a major problem to the population. COVID-19 develops hypoxic respiratory failure. COVID and ARDS both lead to failure of multiple organs. According to WHO, as of 10 June 2022, 532,201,219 confirmed cases of COVID-19 and 6,305,358 deaths have been reported globally. Primary available protection against this SARS-CoV-2 is population-based vaccination which has reduced the infection risk. Yet, SARS-CoV-2 virus continues to be a mystery, as many aspects such as transmission, infection and therapy, are still being studied. Various mutations have been incurred in the Coronavirus due to which potential efficacy of COVID vaccines has reduced. Therefore, the development of supplementary antiCovid19 strategy is still a top priority globally. As a new emergent therapeutic method for COVID-19, stem cell therapy and its derived organoid models have attracted a lot of attention. Stem cells, specifically mesenchymal stem cells (MSCs), have potent tissue healing, anti-inflammatory and immunomodulatory characteristics that might be used to treat COVID-19 patients with damaged organs like lungs and ARDS and compromised immune system. In present review, we have discussed rationality of MSC treatment for COVID-19 as well as the prospects and challenges of utilizing MSCs as a treatment approach in COVID-19.  2023 World Research Association. All rights reserved.",10.25303/1801rjbt1470155,55578,Scopus,k,
"Prankur, Awasthi and Saba, Hasan",COVID 19 and Stem Cell Therapy: Treatment and Challenges,RESEARCH JOURNAL OF BIOTECHNOLOGY,"COVID-19, an extremely contagious disease is showing high rate of infection and fatality, posing a major problem to the population. COVID-19 develops hypoxic respiratory failure. COVID and ARDS both lead to failure of multiple organs. According to WHO, as of 10 June 2022, 532,201,219 confirmed cases of COVID-19 and 6,305,358 deaths have been reported globally. Primary available protection against this SARS-CoV-2 is population-based vaccination which has reduced the infection risk. Yet, SARS-CoV-2 virus continues to be a mystery, as many aspects such as transmission, infection and therapy, are still being studied. Various mutations have been incurred in the Coronavirus due to which potential efficacy of COVID vaccines has reduced. Therefore, the development of supplementary antiCovid19 strategy is still a top priority globally. As a new emergent therapeutic method for COVID-19, stem cell therapy and its derived organoid models have attracted a lot of attention. Stem cells, specifically mesenchymal stem cells (MSCs), have potent tissue healing, anti-inflammatory and immunomodulatory characteristics that might be used to treat COVID-19 patients with damaged organs like lungs and ARDS and compromised immune system. In present review, we have discussed rationality of MSC treatment for COVID-19 as well as the prospects and challenges of utilizing MSCs as a treatment approach in COVID-19.",NA,52006,Web of Science,r,
Liu HX and Zhao H and Xi C and Li S and Ma LP and Lu X and Yan J and Tian XL and Gao L and Tian M and Liu QJ,CPT1 Mediated Ionizing Radiation-Induced Intestinal Injury Proliferation via Shifting FAO Metabolism Pathway and Activating the ERK1/2 and JNK Pathway.,Radiation research,"The intestinal compensatory proliferative potential is a key influencing factor for susceptibility to radiation-induced intestinal injury. Studies indicated that the carnitine palmitoyltransferase 1 (CPT1) mediated fatty acid -oxidation (FAO) plays a crucial role in promoting the survival and proliferation of tumor cells. Here, we aimed to explore the effect of 60Co gamma rays on CPT1 mediated FAO in the radiation-induced intestinal injury models, and investigate the role of CPT1 mediated FAO in the survival and proliferation of intestinal cells after irradiation. We detected the changed of FAO in the plasma and small intestine of Sprague Dawley (SD) rats at 24 h after 60Co gamma irradiation (0, 5 and 10 Gy), using target metabolomics, qRT-PCR, immunohistochemistry (IHC), western blot (WB) and related enzymatic activity kits. We then analyzed the FAO changes in radiation-induced intestinal injury models regardless of ex vivo (mice enteroids), or in vitro (normal human intestinal epithelial cell lines, HIEC-6). HIEC-6 cells were transduced with lentivirus vector GV392 and treated with puromycin for obtaining CPT1 stable knockout cell lines, named CPT1 KO. CPT1 enzymatic activities of HIEC-6 cells and mice enteroids were also inhibited by pharmaceutical inhibitor ST1326 and Etomoxir (ETO), to study the function of CPT1 in the survival and proliferation of HIEC-6 cells after 60Co gamma irradiation. We found that CPT1 mediated FAO was altered in the small intestine of the SD rats after irradiation, especially, the expression level and enzymatic activity of CPT1 were significantly increased. Similarly, the expression levels of CPT1 were also remarkably enhanced in mice enteroids and HIEC-6 cells after irradiation. CPT1 inhibition decreased the proliferation of the HIEC-6 cells and mice enteroids after irradiation partially by reducing the extracellular signal-regulated kinase (ERK1/2) and c-Jun N-terminal kinase (JNK) pathways activation, CPT1 inhibition also reduced the proliferation of mice enteroids after irradiation partially by down-regulating the Wnt/-catenin signaling activity. In conclusion, our study indicated that CPT1 plays a crucial role in promoting intestinal epithelial cell proliferation after irradiation.",10.1667/21-00174.1,1334,PubMed,r,
