ID,author,text_all,title_key_lower,KA_key_lower,organ_type,checked,major_organ
3418,Salvador-Clavell R. and Martin De Llano J.J. and Milian L. and Oliver M. and Mata M. and Carda C. and Sancho-Tello M.,"Chondrogenic Potential of Human Dental Pulp Stem Cells Cultured as Microtissues; NA; Several tissue engineering stem cell-based procedures improve hyaline cartilage repair. In this work, the chondrogenic potential of dental pulp stem cell (DPSC) organoids or microtissues was studied. After several weeks of culture in proliferation or chondrogenic differentiation media, synthesis of aggrecan and type II and I collagen was immunodetected, and SOX9, ACAN, COL2A1, and COL1A1 gene expression was analysed by real-time RT-PCR. Whereas microtissues cultured in proliferation medium showed the synthesis of aggrecan and type II and I collagen at the 6th week of culture, samples cultured in chondrogenic differentiation medium showed an earlier and important increase in the synthesis of these macromolecules after 4 weeks. Gene expression analysis showed a significant increase of COL2A1 after 3 days of culture in chondrogenic differentiation medium, while COL1A1 was highly expressed after 14 days. Cell-cell proximity promotes the chondrogenic differentiation of DPSCs and important synthesis of hyaline chondral macromolecules.",NA,"na;  in this work, the chondrogenic potential of dentalpulp stem cell (dpsc organoid or microtissues was studied.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",dental pulp,OK,
3527,Bannier-Hlaout M and Post Y and Korving J and Trani Bustos M and Gehart H and Begthel H and Bar-Ephraim YE and van der Vaart J and Kalmann R and Imhoff SM and Clevers H,"Exploring the human lacrimal gland using organoids and single-cell sequencing.; adult stem cells and lacrimal gland and organoids and regeneration and single-cell sequencing and swelling assay and tear gland and tear secretion and transplantation; The lacrimal gland is essential for lubrication and protection of the eye. Disruption of lacrimal fluid production, composition, or release results in dry eye, causing discomfort and damage to the ocular surface. Here, we describe the establishment of long-term 3D organoid culture conditions for mouse and human lacrimal gland. Organoids can be expanded over multiple months and recapitulate morphological and transcriptional features of lacrimal ducts. CRISPR-Cas9-mediated genome editing reveals the master regulator for eye development Pax6 to be required for differentiation of adult lacrimal gland cells. We address cellular heterogeneity of the lacrimal gland by providing a single-cell atlas of human lacrimal gland tissue and organoids. Finally, human lacrimal gland organoids phenocopy the process of tear secretion in response to neurotransmitters and can engraft and produce mature tear products upon orthotopic transplantation in mouse. Together, this study provides an experimental platform to study the (patho-)physiology of the lacrimal gland.",exploring the human lacrimalgland using organoid and single-cell sequencing.,"adult stem cells and lacrimalgland and organoid and regeneration and single-cell sequencing and swelling assay and tear gland and tear secretion and transplantation;  here, we describe the establishment of long-term 3d organoid culture conditions for mouse and human lacrimalgland.;  organoid can be expanded over multiple months and recapitulate morphological and transcriptional features of lacrimal ducts.;  we address cellular heterogeneity of the lacrimalgland by providing a single-cell atlas of human lacrimalgland tissue and organoid.;  finally, human lacrimalgland organoid phenocopy the process of tear secretion in response to neurotransmitters and can engraft and produce mature tear products upon orthotopic transplantation in mouse.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",lacrimal gland,OK,
3528,"Chu, J. and Pieles, O. and Pfeifer, C.G. and Alt, V. and Morsczeck, C. and Docheva, D.","Dental follicle cell differentiation towards periodontal ligament-like tissue in a self-assembly three-dimensional organoid model; 3D organoids;  Dental follicle cells;  Ligamentogenic differentiation;  Periodontal ligament;  Periodontal ligament cell line;  Periodontitis;  Scaffold-free approach;  Tissue engineering; Periodontitis remains an unsolved oral disease, prevalent worldwide and resulting in tooth loss due to dysfunction of the periodontal ligament (PDL), a tissue connecting the tooth root with the alveolar bone. A scaffold-free three-dimensional (3D) organoid model for in vitro tenogenesis/ligamentogeneis has already been described. As PDL tissue naturally arises from the dental follicle, the aim of this study was to investigate the ligamentogenic differentiation potential of dental follicle cells (DFCs) in vitro by employing this 3D model. Human primary DFCs were compared, in both two-and three-dimensions, to a previously published PDL-hTERT cell line. The 3D organoids were evaluated by haematoxylin and eosin, 4,6-diamidino-2-phenylindole and F-actin staining combined with detailed histomorphometric analyses of cell-row structure, angular deviation and cell density. Furthermore, the expression of 48 tendon/ligament-and multilineage-related genes was evaluated using quantitative polymerase chain reaction, followed by immunofluorescent analyses of collagen 1 and 3. The results showed that both cell types were successful in the formation of scaffold-free 3D organoids. DFC organoids were comparable to PDL-hTERT in terms of cell density; however, DFCs exhibited superior organoid morphology, cell-row organisation (p < 0.0001) and angular deviation (p < 0.0001). Interestingly, in 2 dimensions as well as in 3D, DFCs showed significantly higher levels of several ligament-related genes compared to the PDL-hTERT cell line. In conclusion, DFCs exhibited great potential to form PDL-like 3D organoids in vitro suggesting that this strategy can be further developed for functional PDL engineering.  2021, AO Research Institute Davos. All rights reserved.",dental follicle cell differentiation towards periodontal ligament-like tissue in a self-assembly three-dimensional organoid model,"3d organoid;  dental follicle cells;  ligamentogenic differentiation;  periodontal ligament;  periodontal ligament cell line;  periodontitis;  scaffold-free approach;  tissue engineering;  a scaffold-free three-dimensional (3d organoid model for in vitro tenogenesis/ligamentogeneis has already been described.;  the 3d organoid were evaluated by haematoxylin and eosin, 4,6-diamidino-2-phenylindole and f-actin staining combined with detailed histomorphometric analyses of cell-row structure, angular deviation and cell density.;  the results showed that both cell types were successful in the formation of scaffold-free 3d organoid.;  dfc organoid were comparable to pdl-htert in terms of cell density; however, dfcs exhibited superior organoid morphology, cell-row organisation (p < 0,0001) and angular deviation (p < 0,0001).;  in conclusion, dfcs exhibited great potential to form pdl-like 3d organoid in vitro suggesting that this strategy can be further developed for functional pdl engineering.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",dental follicle,OK,
3579,Forsythe SD and Erali RA and Sasikumar S and Laney P and Shelkey E and D'Agostino R Jr and Miller LD and Shen P and Levine EA and Soker S and Votanopoulos KI,"Organoid Platform in Preclinical Investigation of Personalized Immunotherapy Efficacy in Appendiceal Cancer: Feasibility Study.; NA; PURPOSE: Immunotherapy efficacy data on appendiceal cancer from clinical trials does not exist, due to appendiceal cancer incidence of 0.97 per 100,000. The goal of this study was to preclinically explore the application of immunotherapy in treating appendiceal cancer in a personalized organoid model. EXPERIMENTAL DESIGN: Patient tumor organoids (PTO) were fabricated using unsorted tumor cells with and without enrichment with patient-matched immune components derived from peripheral blood leukocytes, spleen, or lymph nodes [immune-enhanced PTOs (iPTO)]. Organoids were cultured for 7 days, followed by treatment with immunotherapy (pembrolizumab, ipilimumab, nivolumab), and assessed for treatment efficacy. RESULTS: Between September 2019 and May 2021, 26 patients were enrolled in the study. Successful testing was conducted in 19 of 26 (73.1%) patients, with 13 of 19 (68.4%) and 6 of 19 (31.6%) patients having low-grade appendiceal (LGA) and high-grade appendiceal (HGA) primaries, respectively. Immunotherapy response, with increased expression of granzyme B and cleaved caspase 3 and decreased expression of CK20 and ATP activity, was exhibited in 4 of 19 (21.1%) pembrolizumab-treated and 2 of 19 (10.5%) nivolumab-treated iPTOs. Post-immunotherapy cellular viability, in responding HGA organoids to pembrolizumab, decreased to less than 15% (P < 0.05). LGA iPTO treatment responses were observed in pembrolizumab and nivolumab, with an 8%-47.4% (P < 0.05) viability compared with controls. Ipilimumab showed no efficacy in the examined cohort. CONCLUSIONS: Immunotherapy shows measurable efficacy in appendiceal cancer organoids. Information derived from immunocompetent organoids may be applied in selecting patients for clinical trial enrollment in rare diseases where preclinical models of disease are lacking.",organoid platform in preclinical investigation of personalized immunotherapy efficacy in appendiceal cancer: feasibility study.,"na;  the goal of this study was to preclinically explore the application of immunotherapy in treating appendiceal cancer in a personalized organoid model.;  experimental design: patient tumor organoid (pto) were fabricated using unsorted tumor cells with and without enrichment with patient-matched immune components derived from peripheral blood leukocytes, spleen, or lymphnode [immune-enhanced ptos (ipto)].;  organoid were cultured for 7 days, followed by treatment with immunotherapy (pembrolizumab, ipilimumab, nivolumab), and assessed for treatment efficacy.;  post-immunotherapy cellular viability, in responding hga organoid to pembrolizumab, decreased to less than 15% (p < 0,05).;  conclusions: immunotherapy shows measurable efficacy in appendiceal cancer organoid.;  information derived from immunocompetent organoid may be applied in selecting patients for clinical trial enrollment in rare diseases where preclinical models of disease are lacking.; ; ; ; ; ; ; ; ; ; ; ; ; ; ",appendix,OK,
3689,Puschhof J and Post Y and Beumer J and Kerkkamp HM and Bittenbinder M and Vonk FJ and Casewell NR and Richardson MK and Clevers H,"Derivation of snake venom gland organoids for in vitro venom production.; NA; More than 400,000 people each year suffer adverse effects following bites from venomous snakes. However, snake venom is also a rich source of bioactive molecules with known or potential therapeutic applications. Manually 'milking' snakes is the most common method to obtain venom. Safer alternative methods to produce venom would facilitate the production of both antivenom and novel therapeutics. This protocol describes the generation, maintenance and selected applications of snake venom gland organoids. Snake venom gland organoids are 3D culture models that can be derived within days from embryonic or adult venom gland tissues from several snake species and can be maintained long-term (we have cultured some organoids for more than 2 years). We have successfully used the protocol with glands from late-stage embryos and recently deceased adult snakes. The cellular heterogeneity of the venom gland is maintained in the organoids, and cell type composition can be controlled through changes in media composition. We describe in detail how to derive and grow the organoids, how to dissociate them into single cells, and how to cryopreserve and differentiate them into toxin-producing organoids. We also provide guidance on useful downstream assays, specifically quantitative real-time PCR, bulk and single-cell RNA sequencing, immunofluorescence, immunohistochemistry, fluorescence in situ hybridization, scanning and transmission electron microscopy and genetic engineering. This stepwise protocol can be performed in any laboratory with tissue culture equipment and enables studies of venom production, differentiation and cellular heterogeneity.",derivation of snake venomgland organoid for in vitro venom production.,"na;  this protocol describes the generation, maintenance and selected applications of snake venomgland organoid.;  snake venomgland organoid are 3d culture models that can be derived within days from embryonic or adult venomgland tissues from several snake species and can be maintained long-term (we have cultured some organoid for more than 2 years).;  the cellular heterogeneity of the venomgland is maintained in the organoid, and cell type composition can be controlled through changes in media composition.;  we describe in detail how to derive and grow the organoid, how to dissociate them into single cells, and how to cryopreserve and differentiate them into toxin-producing organoid.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",venom gland,OK,
3721,Lucky S.S. and Law M. and Lui M.H. and Mong J. and Shi J. and Yu S. and Yoon D.K. and Djeng S.K. and Wang J. and Lim C.M. and Tan M.H.,"Patient-Derived Nasopharyngeal Cancer Organoids for Disease Modeling and Radiation Dose Optimization; NA; Effective radiation treatment (RT) for recurrent nasopharyngeal cancers (NPC), featuring an intrinsic hypoxic sub-volume, remains a clinical challenge. Lack of disease-specific in-vitro models of NPC, together with difficulties in establishing patient derived xenograft (PDX) models, have further hindered development of personalized therapeutic options. Herein, we established two NPC organoid lines from recurrent NPC PDX models and further characterized and compared these models with original patient tumors using RNA sequencing analysis. Organoids were cultured in hypoxic conditions to examine the effects of hypoxia and radioresistance. These models were then utilized to determine the radiobiological parameters, such as alpha/beta ratio and oxygen enhancement ratio (OER), characteristic to radiosensitive normoxic and radioresistant hypoxic NPC, using simple dose-survival data analytic tools. The results were further validated in-vitro and in-vivo, to determine the optimal boost dose and fractionation regimen required to achieve effective NPC tumor regression. Despite the differences in tumor microenvironment due to the lack of human stroma, RNA sequencing analysis revealed good correlation of NPC PDX and organoid models with patient tumors. Additionally, the established models also mimicked inter-tumoral heterogeneity. Hypoxic NPC organoids were highly radioresistant and had high alpha/beta ratio compared to its normoxic counterparts. In-vitro and in-vivo fractionation studies showed that hypoxic NPC was less sensitive to RT fractionation scheme and required a large bolus dose or 1.4 times of the fractionated dose that was effective against normoxic cells in order to compensate for oxygen deficiency. This study is the first direct experimental evidence to predict optimal RT boost dose required to cause sufficient damage to recurrent hypoxic NPC tumor cells, which can be further used to develop dose-painting algorithms in clinical practice. ",patient-derived nasopharyngeal cancer organoid for disease modeling and radiation dose optimization,"na;  herein, we established two npc organoid lines from recurrent npc pdx models and further characterized and compared these models with original patient tumors using rna sequencing analysis.;  organoid were cultured in hypoxic conditions to examine the effects of hypoxia and radioresistance.;  despite the differences in tumor microenvironment due to the lack of human stroma, rna sequencing analysis revealed good correlation of npc pdx and organoid models with patient tumors.;  hypoxic npc organoid were highly radioresistant and had high alpha/beta ratio compared to its normoxic counterparts.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",nasopharynx,OK,
3737,Chen X and Sun J and Li X,"Adipose derived stem cells to construct parathyroid organoid for hypoparathyroidism.; Adipose-derived stem cells and Hypothyroidism and Organoid and Tissuhe engineering; Hypoparathyroidism is one of the most common postoperative complications of thyroid surgery, and organoid transplantation is a frontier field expected to treat hypoparathyroidism. Organoids are three-dimensional cell aggregates derived from embryonic stem cells, pluripotent stem cells, or tissue precursor cells, possessing similar structures and functions to organs. Thus they can replace diseased organs to play a role. Adipose-derived stem cells (ASCs) are a population of postnatal stem cells residing in the fat tissue, capable of differentiating into parathyroid-like cells with parathyroid hormone secretion function. Additionally, we have prepared cartilaginous organoids by intelligent porous hydrogel and differentiated ASCs via ""bottom-up"" strategy in vitro. Therefore, we speculate that parathyroid organoids can be achieved by the biomaterial-assisted assembly of differentiated adipose stem cells and it is a promising treatment for hypoparathyroidism.",adipose derived stem cells to construct parathyroid organoid for hypoparathyroidism.,"adipose-derived stem cells and hypothyroidism and organoid and tissuhe engineering; hypoparathyroidism is one of the most common postoperative complications of thyroid surgery, and organoid transplantation is a frontier field expected to treat hypoparathyroidism.;  organoid are three-dimensional cell aggregates derived from embryonic stem cells, pluripotent stem cells, or tissue precursor cells, possessing similar structures and functions to organs.;  additionally, we have prepared cartilaginous organoid by intelligent porous hydrogel and differentiated ascs via ""bottom-up"" strategy in vitro.;  therefore, we speculate that parathyroid organoid can be achieved by the biomaterial-assisted assembly of differentiated adipose stem cells and it is a promising treatment for hypoparathyroidism.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",parathyroid,OK,
4031,Takada K and Aizawa Y and Sano D and Okuda R and Sekine K and Ueno Y and Yamanaka S and Aoyama J and Sato K and Kuwahara T and Hatano T and Takahashi H and Arai Y and Nishimura G and Taniguchi H and Oridate N,"Establishment of PDX-derived salivary adenoid cystic carcinoma cell lines using organoid culture method.; drug sensitivity test and organoid culture and orthotopic transplantation and patient-derived xenograft (PDX) model and salivary adenoid cystic carcinoma; To generate a reliable preclinical model system exhibiting the molecular features of salivary adenoid cystic carcinoma (ACC) whose biology is still unclear due to the paucity of stable cell cultures. To develop new in vitro and in vivo models of ACC, the techniques of organoid culture and patient-derived tumor xenograft (PDX), which have attracted attention in other malignancies in recent years, were applied. Tumor specimens from surgically resected salivary ACC were proceeded for the preparation of PDX and organoid culture. The orthotopic transplantation of patient-derived or PDX-derived organoids was demonstrated into submandibular glands of NSG mice and those histology was evaluated. PDX-derived organoid cells were evaluated for the presence of MYB-mediated fusion genes and proceeded for in vitro drug sensitivity assay. Human ACC-derived organoids were successfully generated in three-dimensional culture and confirmed the ability of these cells to form tumors by orthotopic injection. Short-term organoid cell cultures from two individual ACC PDX tumors were also established that maintain the characteristic MYBL1 translocation and histological features of the original parent and PDX tumors. Finally, the establishment of drug sensitivity tests on these short-term cultured cells was confirmed using three different agents. This is the first to report an approach for the generation of human ACC-derived organoids as in vitro and in vivo cancer models, providing insights into understanding of the ACC biology and creating personalized therapy design for patients with ACC.",establishment of pdx-derived salivary adenoid cystic carcinoma cell lines using organoid culture method.,"drug sensitivity test and organoid culture and orthotopic transplantation and patient-derived xenograft (pdx) model and salivary adenoid cystic carcinoma;  to develop new in vitro and in vivo models of acc, the techniques of organoid culture and patient-derived tumor xenograft (pdx), which have attracted attention in other malignancies in recent years, were applied.;  tumor specimens from surgically resected salivary acc were proceeded for the preparation of pdx and organoid culture.;  the orthotopic transplantation of patient-derived or pdx-derived organoid was demonstrated into submandibulargland of nsg mice and those histology was evaluated.;  pdx-derived organoid cells were evaluated for the presence of myb-mediated fusion genes and proceeded for in vitro drug sensitivity assay.;  human acc-derived organoid were successfully generated in three-dimensional culture and confirmed the ability of these cells to form tumors by orthotopic injection.;  short-term organoid cell cultures from two individual acc pdx tumors were also established that maintain the characteristic mybl1 translocation and histological features of the original parent and pdx tumors.;  this is the first to report an approach for the generation of human acc-derived organoid as in vitro and in vivo cancer models, providing insights into understanding of the acc biology and creating personalized therapy design for patients with acc.; ; ; ; ; ; ; ; ; ; ; ; ; ",submandibular gland,OK,
4258,Post Y and Puschhof J and Beumer J and Kerkkamp HM and de Bakker MAG and Slagboom J and de Barbanson B and Wevers NR and Spijkers XM and Olivier T and Kazandjian TD and Ainsworth S and Iglesias CL and van de Wetering WJ and Heinz MC and van Ineveld RL and van Kleef RGDM and Begthel H and Korving J and Bar-Ephraim YE and Getreuer W and Rios AC and Westerink RHS and Snippert HJG and van Oudenaarden A and Peters PJ and Vonk FJ and Kool J and Richardson MK and Casewell NR and Clevers H,"Snake Venom Gland Organoids.; Lgr5 and heterogeneity and knock-in reporter and organoid and single cell RNA sequencing and snake and stem cells and transcriptomics and venom gland; Wnt dependency and Lgr5 expression define multiple mammalian epithelial stem cell types. Under defined growth factor conditions, such adult stem cells (ASCs) grow as 3D organoids that recapitulate essential features of the pertinent epithelium. Here, we establish long-term expanding venom gland organoids from several snake species. The newly assembled transcriptome of the Cape coral snake reveals that organoids express high levels of toxin transcripts. Single-cell RNA sequencing of both organoids and primary tissue identifies distinct venom-expressing cell types as well as proliferative cells expressing homologs of known mammalian stem cell markers. A hard-wired regional heterogeneity in the expression of individual venom components is maintained in organoid cultures. Harvested venom peptides reflect crude venom composition and display biological activity. This study extends organoid technology to reptilian tissues and describes an experimentally tractable model system representing the snake venom gland.",snake venomgland organoid.,"lgr5 and heterogeneity and knock-in reporter and organoid and single cell rna sequencing and snake and stem cells and transcriptomics and venomgland;  under defined growth factor conditions, such adult stem cells (ascs) grow as 3d organoid that recapitulate essential features of the pertinent epithelium.;  here, we establish long-term expanding venomgland organoid from several snake species.;  the newly assembled transcriptome of the cape coral snake reveals that organoid express high levels of toxin transcripts.;  single-cell rna sequencing of both organoid and primary tissue identifies distinct venom-expressing cell types as well as proliferative cells expressing homologs of known mammalian stem cell markers.;  a hard-wired regional heterogeneity in the expression of individual venom components is maintained in organoid cultures.;  this study extends organoid technology to reptilian tissues and describes an experimentally tractable model system representing the snake venomgland.; ; ; ; ; ; ; ; ; ; ; ; ; ; ",venom gland,OK,
4491,"Zhao, F. and Cheng, J. and Sun, M. and Yu, H. and Wu, N. and Li, Z. and Zhang, J. and Li, Q. and Yang, P. and Liu, Q. and Hu, X. and Ao, Y.","Digestion degree is a key factor to regulate the printability of pure tendon decellularized extracellular matrix bio-ink in extrusion-based 3D cell printing; 3D bioprinting;  bio-ink;  dECM;  printability; Improving the printability of pure, decellularized extracellular matrix (dECM) bio-ink without altering its physiological components has been a challenge in three-dimensional (3D) cell printing. To improve the printability of the bio-ink, we first investigated the digestion process of the powdered dECM material obtained from porcine tendons. We manifested the digestion process of tendon derived dECM powders, which includes dissolution, gelatinization and solubilization. After a short dissolution period (around 10 min), we observed a 'High viscosity slurry' status (3 h) of the dECM precursors, i.e. the gelatinization process, followed by the solubilization processes, i.e. a 'Medium viscosity slurry' period (12 h) and a 'Low viscosity slurry' period (72 h). The 'Medium viscosity slurry' status of the dECM bio-ink was inhomogeneous and could not be extruded out from the barrel after the pH value was neutralized to 7.4. Although the 'Low viscosity slurry' status of the dECM bio-ink has been reported to be extrudable, it has poor printability. This study explores the printability of the 'High viscosity slurry' status of the dECM bio-ink, which has not been addressed thus far. The results demonstrate that this less digested status of the dECM bio-ink yields higher shape fidelity and stacking accuracy than the traditional over-digested status of the dECM bio-ink; this indicates better printability of this less digested dECM bio-ink. We compared the performance of the two bio-inks using cell viability tests for 3D cell printing. Bone marrow mesenchymal stem cells derived from rats was printed using the 'High viscosity slurry' status of the dECM bio-ink, yielding high cellular viability lasting for 7 d after printing. Thus, the 'High viscosity slurry' status of tendon dECM bio-ink can be utilized to fabricate complicated 3D organoid structures; it also shows promise for applications such as regenerative medicine and biomimetic tissue engineering.  2020 IOP Publishing Ltd.",NA,"na;  thus, the 'high viscosity slurry' status of tendon decm bio-ink can be utilized to fabricate complicated 3d organoid structures; it also shows promise for applications such as regenerative medicine and biomimetic tissue engineering.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",tendon,unidentified,unidentified
4517,"Xu, H. and Lehtinen, M.K.","Choroid Plexus Organoids: Harnessing CSF Gatekeepers for Brain Therapeutics; article;  cerebrospinal fluid;  choroid plexus;  human;  organoid;  blood brain barrier;  brain, Blood-Brain Barrier;  Brain;  Choroid Plexus;  Humans;  Organoids; Barrier properties of the choroid plexus (ChP) help protect the brain from the external world. In Science, Pellegrini et al. (2020) report the successful creation of human ChP organoids, which produce a cerebrospinal fluid-like secretion and recapitulate barrier functions, thereby inspiring new advances for targeted brain therapeutics.  2020 Elsevier Inc. Barrier properties of the choroid plexus (ChP) help protect the brain from the external world. In Science, Pellegrini et al. (2020) report the successful creation of human ChP organoids, which produce a cerebrospinal fluid-like secretion and recapitulate barrier functions, thereby inspiring new advances for targeted brain therapeutics.  2020 Elsevier Inc.",choroidplexus organoid: harnessing csf gatekeepers for brain therapeutics,"article;  cerebrospinal fluid;  choroidplexus;  human;  organoid;  bloodbrainbarrier;  brain, bloodbrainbarrier;  brain;  choroidplexus;  humans;  organoid;  (2020) report the successful creation of human chp organoid, which produce a cerebrospinal fluid-like secretion and recapitulate barrier functions, thereby inspiring new advances for targeted brain therapeutics.;  (2020) report the successful creation of human chp organoid, which produce a cerebrospinal fluid-like secretion and recapitulate barrier functions, thereby inspiring new advances for targeted brain therapeutics.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",choroid plexus,OK,
4565,Marinic M. and Rana S. and Lynch V.J.,"Derivation of endometrial gland organoids from term placenta; NA; A limitation of current methods for the generation of endometrial gland organoids is their reliance on decidua isolated from endometrial biopsies or elective abortion. Here we report the establishment of endometrial gland organoids from decidua isolated from term placental membranes. These organoids express typical markers of glandular epithelia such as E-cadherin, Laminin and Cytokeratin 7, and can be propagated in cell culture through multiple passages. Additionally, we identified potential survival factors for the co-culture of organoids and endometrial stromal fibroblasts. These modifications facilitate the generation of patient-specific endometrial gland organoids with known pregnancy outcomes.",derivation of endometrialgland organoid from term placenta,"na; a limitation of current methods for the generation of endometrialgland organoid is their reliance on decidua isolated from endometrial biopsies or elective abortion.;  here we report the establishment of endometrialgland organoid from decidua isolated from term placental membranes.;  these organoid express typical markers of glandular epithelia such as e-cadherin, laminin and cytokeratin 7, and can be propagated in cell culture through multiple passages.;  additionally, we identified potential survival factors for the co-culture of organoid and endometrial stromal fibroblasts.;  these modifications facilitate the generation of patient-specific endometrialgland organoid with known pregnancy outcomes.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",endometrial gland,OK,
4573,Mazzara PG and Muggeo S and Luoni M and Massimino L and Zaghi M and Valverde PT and Brusco S and Marzi MJ and Palma C and Colasante G and Iannielli A and Paulis M and Cordiglieri C and Giannelli SG and Podini P and Gellera C and Taroni F and Nicassio F and Rasponi M and Broccoli V,"Frataxin gene editing rescues Friedreich's ataxia pathology in dorsal root ganglia organoid-derived sensory neurons.; NA; Friedreich's ataxia (FRDA) is an autosomal-recessive neurodegenerative and cardiac disorder which occurs when transcription of the FXN gene is silenced due to an excessive expansion of GAA repeats into its first intron. Herein, we generate dorsal root ganglia organoids (DRG organoids) by in vitro differentiation of human iPSCs. Bulk and single-cell RNA sequencing show that DRG organoids present a transcriptional signature similar to native DRGs and display the main peripheral sensory neuronal and glial cell subtypes. Furthermore, when co-cultured with human intrafusal muscle fibers, DRG organoid sensory neurons contact their peripheral targets and reconstitute the muscle spindle proprioceptive receptors. FRDA DRG organoids model some molecular and cellular deficits of the disease that are rescued when the entire FXN intron 1 is removed, and not with the excision of the expanded GAA tract. These results strongly suggest that removal of the repressed chromatin flanking the GAA tract might contribute to rescue FXN total expression and fully revert the pathological hallmarks of FRDA DRG neurons.",frataxin gene editing rescues friedreich's ataxia pathology in dorsalrootganglion organoid-derived sensory neurons.,"na;  herein, we generate dorsalrootganglion organoid (drg organoid) by in vitro differentiation of human ipscs.;  bulk and single-cell rna sequencing show that drg organoid present a transcriptional signature similar to native drgs and display the main peripheral sensory neuronal and glial cell subtypes.;  furthermore, when co-cultured with human intrafusal muscle fibers, drg organoid sensory neurons contact their peripheral targets and reconstitute the muscle spindle proprioceptive receptors.;  frda drg organoid model some molecular and cellular deficits of the disease that are rescued when the entire fxn intron 1 is removed, and not with the excision of the expanded gaa tract.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",dorsal root ganglion,OK,
4610,Ali A and Syed SM and Jamaluddin MFB and Colino-Sanguino Y and Gallego-Ortega D and Tanwar PS,"Cell Lineage Tracing Identifies Hormone-Regulated and Wnt-Responsive Vaginal Epithelial Stem Cells.; Wnt and organoids and reproductive tract and sexually transmitted infections and single-cell sequencing and stem cells and -catenin; The intact vaginal epithelium is essential for women's reproductive health and provides protection against HIV and sexually transmitted infections. How this epithelium maintains itself remains poorly understood. Here, we used single-cell RNA sequencing (RNA-seq) to define the diverse cell populations in the vaginal epithelium. We show that vaginal epithelial cell proliferation is limited to the basal compartment without any obvious label-retaining cells. Furthermore, we developed vaginal organoids and show that the basal cells have increased organoid forming efficiency. Importantly, Axin2 marks a self-renewing subpopulation of basal cells that gives rise to differentiated cells over time. These cells are ovariectomy-resistant stem cells as they proliferate even in the absence of hormones. Upon hormone supplementation, these cells expand and reconstitute the entire vaginal epithelium. Wnt/-catenin is essential for the proliferation and differentiation of vaginal stem cells. Together, these data define heterogeneity in vaginal epithelium and identify vaginal epithelial stem cells.",NA,"wnt and organoid and reproductivetract and sexually transmitted infections and single-cell sequencing and stem cells and -catenin;  furthermore, we developed vaginal organoid and show that the basal cells have increased organoid forming efficiency.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ",vagina,OK,
4618,Yoshida T. and Matsuda M. and Hirashima T.,"Incoherent Feedforward Regulation via Sox9 and ERK Underpins Mouse Tracheal Cartilage Development; NA; Tracheal cartilage provides architectural integrity to the respiratory airway, and defects in this structure during embryonic development cause severe congenital anomalies. Previous genetic studies have revealed genes that are critical for the development of tracheal cartilage. However, it is still unclear how crosstalk between these proteins regulates tracheal cartilage formation. Here we show a core regulatory network underlying murine tracheal chondrogenesis from embryonic day (E) 12.5 to E15.5, by combining volumetric imaging of fluorescence reporters, inhibitor assays, and mathematical modeling. We focused on SRY-box transcription factor 9 (Sox9) and extracellular signal-regulated kinase (ERK) in the tracheal mesenchyme, and observed a synchronous, inverted U-shaped temporal change in both Sox9 expression and ERK activity with a peak at E14.5, whereas the expression level of downstream cartilage matrix genes, such as collagen II alpha 1 (Col2a1) and aggrecan (Agc1), monotonically increased. Inhibitor assays revealed that the ERK signaling pathway functions as an inhibitory regulator of tracheal cartilage differentiation during this period. These results suggest that expression of the cartilage matrix genes is controlled by an incoherent feedforward loop via Sox9 and ERK, which is supported by a mathematical model. Furthermore, the modeling analysis suggests that a Sox9-ERK incoherent feedforward regulation augments the robustness against the variation of upstream factors. The present study provides a better understanding of the regulatory network underlying the tracheal development and will be helpful for efficient induction of tracheal organoids. ",NA,na;  the present study provides a better understanding of the regulatory network underlying the tracheal development and will be helpful for efficient induction of tracheal organoid.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ,trachea,OK,
