"author","title","journal","abstract","doi","ID","database","status"
"Salehi, S. and Tran, K. and Grayson, W.L.","Advances in perfusion systems for solid organ preservation","Yale Journal of Biology and Medicine","In the past, a diagnosis of organ failure would essentially be a death sentence for patients. With improved techniques for organ procurement and surgical procedures, transplantations to treat organ failure have become standard medical practice. However, while the demand for organs has skyrocketed, the donor pool has not kept pace leading to long recipient waiting lists. Organ preservation provides a means to increase the number of available transplantable organs. However, there are significant drawbacks associated with cold storage, the current gold standard. To address the short-comings due to diffusional limitations, engineers have developed cold perfusion systems. More recently, there has been a significant trend towards the development of near-normothermic systems to enhance the functional preservation of solid organs including livers, lungs, hearts, kidneys, and vascularized composite allotransplants. Here we review recent advances in the development of perfusion systems for the preservation of solid organs. We provide a brief history of organ transplantation, the limitations of existing systems, and describe research being done to develop commercially available perfusion systems to enhance organ preservation.  2018, Yale Journal of Biology and Medicine Inc. All rights reserved.",NA,3211,"Scopus","r"
"Salehi S and Tran K and Grayson WL","Advances in Perfusion Systems for Solid Organ Preservation.","The Yale journal of biology and medicine","In the past, a diagnosis of organ failure would essentially be a death sentence for patients. With improved techniques for organ procurement and surgical procedures, transplantations to treat organ failure have become standard medical practice. However, while the demand for organs has skyrocketed, the donor pool has not kept pace leading to long recipient waiting lists. Organ preservation provides a means to increase the number of available transplantable organs. However, there are significant drawbacks associated with cold storage, the current gold standard. To address the short-comings due to diffusional limitations, engineers have developed cold perfusion systems. More recently, there has been a significant trend towards the development of near-normothermic systems to enhance the functional preservation of solid organs including livers, lungs, hearts, kidneys, and vascularized composite allotransplants. Here we review recent advances in the development of perfusion systems for the preservation of solid organs. We provide a brief history of organ transplantation, the limitations of existing systems, and describe research being done to develop commercially available perfusion systems to enhance organ preservation.",NA,2824,"PubMed","k"
"Abudupataer, Mieradilijiang and Zhu, Shichao and Yan, Shiqiang and Xu, Kehua and Zhang, Jingjing and Luo, Shaman and Ma, Wenrui and Alam, Md Fazle and Tang, Yuyi and Huang, Hui and Chen, Nan and Wang, Li and Yan, Guoquan and Li, Jun and Lai, Hao and Wang, Chunsheng and Zhu, Kai and Zhang, Weijia","Aorta smooth muscle-on-a-chip reveals impaired mitochondrial dynamics as a therapeutic target for aortic aneurysm in bicuspid aortic valve disease","ELIFE","Background: Bicuspid aortic valve (BAV) is the most common congenital cardiovascular disease in general population and is frequently associated with the development of thoracic aortic aneurysm (TAA). There is no effective strategy to intervene with TAA progression due to an incomplete understanding of the pathogenesis. Insufficiency of NOTCH1 expression is highly related to BAV-TAA, but the underlying mechanism remains to be clarified. Methods: A comparative proteomics analysis was used to explore the biological differences between non-diseased and BAV-TAA aortic tissues. A microfluidics-based aorta smooth muscle-on-a-chip model was constructed to evaluate the effect of NOTCH1 deficiency on contractile phenotype and mitochondrial dynamics of human aortic smooth muscle cells (HAoSMCs). Results: Protein analyses of human aortic tissues showed the insufficient expression of NOTCH1 and impaired mitochondrial dynamics in BAV-TAA. HAoSMCs with NOTCH1-knockdown exhibited reduced contractile phenotype and were accompanied by attenuated mitochondrial fusion. Furthermore, we identified that mitochondrial fusion activators (leflunomide and teriflunomide) or mitochondrial fission inhibitor (Mdivi-1) partially rescued the disorders of mitochondrial dynamics in HAoSMCs derived from BAV-TAA patients. Conclusions: The aorta smooth muscle-on-a-chip model simulates the human pathophysiological parameters of aorta biomechanics and provides a platform for molecular mechanism studies of aortic disease and related drug screening. This aorta smooth muscle-on-a-chip model and human tissue proteomic analysis revealed that impaired mitochondrial dynamics could be a potential therapeutic target for BAV-TAA. Funding: National Key R and D Program of China, National Natural Science Foundation of China, Shanghai Municipal Science and Technology Major Project, Shanghai Science and Technology Commission, and Shanghai Municipal Education Commission. eLife digest To function properly, the heart must remain a one-way system, pumping out oxygenated blood into the aorta - the largest artery in the body - so it can be distributed across the organism. The aortic valve, which sits at the entrance of the aorta, is a key component of this system. Its three flaps (or `cusps') are pushed open when the blood exits the heart, and they shut tightly so it does not flow back in the incorrect direction. Nearly 1.4\% of people around the world are born with `bicuspid' aortic valves that only have two flaps. These valves may harden or become leaky, forcing the heart to work harder. This defect is also associated with bulges on the aorta which progressively weaken the artery, sometimes causing it to rupture. Open-heart surgery is currently the only way to treat these bulges (or `aneurysms'), as no drug exists that could slow down disease progression. This is partly because the biological processes involved in the aneurysms worsening and bursting open is unclear. Recent studies have highlighted that many individuals with bicuspid aortic valves also have lower levels of a protein known as NOTCH1, which plays a key signalling role for cells. Problems in the mitochondria - the structures that power up a cell - are also observed. However, it is not known how these findings are connected or linked with the aneurysms developing. To answer this question, Abudupataer et al. analyzed the proteins present in diseased and healthy aortic muscle cells, confirming a lower production of NOTCH1 and impaired mitochondria in diseased tissues. They also created an `aorta-on-a-chip' model where aortic muscle cells were grown in the laboratory under conditions resembling those found in the body - including the rhythmic strain that the aorta is under because of the heart beating. Abudupataer et al. then reduced NOTCH1 levels in healthy samples, which made the muscle tissue less able to contract and reduced the activity of the mitochondria. Applying drugs that tweak mitochondrial activity helped tissues from patients with bicuspid aortic valves to work better. These compounds could potentially benefit individuals with deficient aortic valves, but experiments in animals and clinical trials would be needed first to confirm the results and assess safety. The aorta-on-a-chip model developed by Abudupataer et al. also provides a platform to screen for drugs and examine the molecular mechanisms at play in aortic diseases.","10.7554/elife.69310; 10.7554/elife.69310.sa1; 10.7554/elife.69310.sa2",3335,"Web of Science","r"
"Abudupataer M and Zhu S and Yan S and Xu K and Zhang J and Luo S and Ma W and Alam MF and Tang Y and Huang H and Chen N and Wang L and Yan G and Li J and Lai H and Wang C and Zhu K and Zhang W","Aorta smooth muscle-on-a-chip reveals impaired mitochondrial dynamics as a therapeutic target for aortic aneurysm in bicuspid aortic valve disease.","eLife","BACKGROUND: Bicuspid aortic valve (BAV) is the most common congenital cardiovascular disease in general population and is frequently associated with the development of thoracic aortic aneurysm (TAA). There is no effective strategy to intervene with TAA progression due to an incomplete understanding of the pathogenesis. Insufficiency of NOTCH1 expression is highly related to BAV-TAA, but the underlying mechanism remains to be clarified. METHODS: A comparative proteomics analysis was used to explore the biological differences between non-diseased and BAV-TAA aortic tissues. A microfluidics-based aorta smooth muscle-on-a-chip model was constructed to evaluate the effect of NOTCH1 deficiency on contractile phenotype and mitochondrial dynamics of human aortic smooth muscle cells (HAoSMCs). RESULTS: Protein analyses of human aortic tissues showed the insufficient expression of NOTCH1 and impaired mitochondrial dynamics in BAV-TAA. HAoSMCs with NOTCH1-knockdown exhibited reduced contractile phenotype and were accompanied by attenuated mitochondrial fusion. Furthermore, we identified that mitochondrial fusion activators (leflunomide and teriflunomide) or mitochondrial fission inhibitor (Mdivi-1) partially rescued the disorders of mitochondrial dynamics in HAoSMCs derived from BAV-TAA patients. CONCLUSIONS: The aorta smooth muscle-on-a-chip model simulates the human pathophysiological parameters of aorta biomechanics and provides a platform for molecular mechanism studies of aortic disease and related drug screening. This aorta smooth muscle-on-a-chip model and human tissue proteomic analysis revealed that impaired mitochondrial dynamics could be a potential therapeutic target for BAV-TAA. FUNDING: National Key R and D Program of China, National Natural Science Foundation of China, Shanghai Municipal Science and Technology Major Project, Shanghai Science and Technology Commission, and Shanghai Municipal Education Commission.","10.7554/elife.69310",467,"PubMed","k"
"Cai, Shengze and Li, He and Zheng, Fuyin and Kong, Fang and Dao, Ming and Karniadakis, George Em and Suresh, Subra","Artificial intelligence velocimetry and microaneurysm-on-a-chip for three-dimensional analysis of blood flow in physiology and disease","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Understanding the mechanics of blood flow is necessary for developing insights into mechanisms of physiology and vascular diseases in microcirculation. Given the limitations of technologies available for assessing in vivo flow fields, in vitro methods based on traditional microfluidic platforms have been developed to mimic physiological conditions. However, existing methods lack the capability to provide accurate assessment of these flow fields, particularly in vessels with complex geometries. Conventional approaches to quantify flow fields rely either on analyzing only visual images or on enforcing underlying physics without considering visualization data, which could compromise accuracy of predictions. Here, we present artificial-intelligence velocimetry (AIV) to quantify velocity and stress fields of blood flow by integrating the imaging data with underlying physics using physics-informed neural networks. We demonstrate the capability of AIV by quantifying hemodynamics in microchannels designed to mimic saccular-shaped microaneurysms (microaneurysm-on-achip, or MAOAC), which signify common manifestations of diabetic retinopathy, a leading cause of vision loss from blood-vessel damage in the retina in diabetic patients. We show that AIV can, without any a priori knowledge of the inlet and outlet boundary conditions, infer the two-dimensional (2D) flow fields from a sequence of 2D images of blood flow in MAOAC, but also can infer three-dimensional (3D) flow fields using only 2D images, thanks to the encoded physics laws. AIV provides a unique paradigm that seamlessly integrates images, experimental data, and underlying physics using neural networks to automatically analyze experimental data and infer key hemodynamic indicators that assess vascular injury.",NA,3327,"Web of Science","r"
"Cai S and Li H and Zheng F and Kong F and Dao M and Karniadakis GE and Suresh S","Artificial intelligence velocimetry and microaneurysm-on-a-chip for three-dimensional analysis of blood flow in physiology and disease.","Proceedings of the National Academy of Sciences of the United States of America","Understanding the mechanics of blood flow is necessary for developing insights into mechanisms of physiology and vascular diseases in microcirculation. Given the limitations of technologies available for assessing in vivo flow fields, in vitro methods based on traditional microfluidic platforms have been developed to mimic physiological conditions. However, existing methods lack the capability to provide accurate assessment of these flow fields, particularly in vessels with complex geometries. Conventional approaches to quantify flow fields rely either on analyzing only visual images or on enforcing underlying physics without considering visualization data, which could compromise accuracy of predictions. Here, we present artificial-intelligence velocimetry (AIV) to quantify velocity and stress fields of blood flow by integrating the imaging data with underlying physics using physics-informed neural networks. We demonstrate the capability of AIV by quantifying hemodynamics in microchannels designed to mimic saccular-shaped microaneurysms (microaneurysm-on-a-chip, or MAOAC), which signify common manifestations of diabetic retinopathy, a leading cause of vision loss from blood-vessel damage in the retina in diabetic patients. We show that AIV can, without any a priori knowledge of the inlet and outlet boundary conditions, infer the two-dimensional (2D) flow fields from a sequence of 2D images of blood flow in MAOAC, but also can infer three-dimensional (3D) flow fields using only 2D images, thanks to the encoded physics laws. AIV provides a unique paradigm that seamlessly integrates images, experimental data, and underlying physics using neural networks to automatically analyze experimental data and infer key hemodynamic indicators that assess vascular injury.","10.1073/pnas.2100697118",469,"PubMed","k"
"Gao X. and Tanaka Y. and Sugii Y. and Mawatari K. and Kitamori T.","Basic structure and cell culture condition of a bioartificial renal tubule on chip towards a cell-based separation microdevice","Anal. Sci","Various separation processes have been integrated in microfluidics, such as capillary electrophoresis and chromatography, on a microchip. However, it is extremely difficult to separate a complicated biological system by conventional methods. Here, we report on a feasible structure and the culture condition of human renal proximal tubule epithelial cells (RPTECs), with the aim to construct a bioartificial renal tubule on a chip. Glass microchips and a polycarbonate membrane were sealed with no leakage after a surface modification. Furthermore, matrigel was selected as an optimized extracellular matrix (ECM) for cell-proliferation on the membrane. After culturing for 5 days, RPTECs reached confluent in the chip-membrane structure, which was confirmed by nuclei staining. So far, we have constructed the basic structure and cell proliferation circumstance for the future demonstration of the RPTECs separating function. This separation microdevice has promising potential to be applied as both a unit of a circulation cell culture system and a research platform of cell biology. 2011 The Japan Society for Analytical Chemistry.","10.2116/analsci.27.907",1376,"EMBASE","k"
"Gao, Xiaofang and Tanaka, Yo and Sugu, Yasuhiko and Mawatari, Kazuma and Kitamori, Takehiko","Basic Structure and Cell Culture Condition of a Bioartificial Renal Tubule on Chip towards a Cell-based Separation Microdevice","ANALYTICAL SCIENCES","Various separation processes have been integrated in microfluidics, such as capillary electrophoresis and chromatography, on a microchip. However, it is extremely difficult to separate a complicated biological system by conventional methods. Here, we report on a feasible structure and the culture condition of human renal proximal tubule epithelial cells (RPTECs), with the aim to construct a bioartificial renal tubule on a chip. Glass microchips and a polycarbonate membrane were sealed with no leakage after a surface modification. Furthermore, matrigel was selected as an optimized extracellular matrix (ECM) for cell-proliferation on the membrane. After culturing for 5 days, RPTECs reached confluent in the chip-membrane structure, which was confirmed by nuclei staining. So far, we have constructed the basic structure and cell proliferation circumstance for the future demonstration of the RPTECs separating function. This separation microdevice has promising potential to be applied as both a unit of a circulation cell culture system and a research platform of cell biology.",NA,3319,"Web of Science","r"
"Grassart A and Malard V and Gobaa S and Sartori-Rupp A and Kerns J and Karalis K and Marteyn B and Sansonetti P and Sauvonnet N","Bioengineered Human Organ-on-Chip Reveals Intestinal Microenvironment and Mechanical Forces Impacting Shigella Infection.","Cell host & microbe","Intestinal epithelial cells are constantly exposed to pathogens and mechanical forces. However, the impact of mechanical forces on infections leading to diarrheal diseases remains largely unknown. Here, we addressed whether flow and peristalsis impact the infectivity of the human pathogen Shigella within a 3D colonic epithelium using Intestine-Chip technology. Strikingly, infection is significantly increased and minimal bacterial loads are sufficient to invade enterocytes from the apical side and trigger loss of barrier integrity, thereby shifting the paradigm about early stage Shigella invasion. Shigella quickly colonizes epithelial crypt-like invaginations and demonstrates the essential role of the microenvironment. Furthermore, by modulating the mechanical forces of the microenvironment, we find that peristalsis impacts Shigella invasion. Collectively, our results reveal that Shigella leverages the intestinal microenvironment by taking advantage of the microarchitecture and mechanical forces to efficiently invade the intestine. This approach will enable molecular and mechanistic interrogation of human-restricted enteric pathogens.","10.1016/j.chom.2019.08.007",847,"PubMed","k"
"Grassart A and Malard V and Gobaa S and Sartori-Rupp A and Kerns J and Karalis K and Marteyn B and Sansonetti P and Sauvonnet N","Bioengineered Human Organ-on-Chip Reveals Intestinal Microenvironment and Mechanical Forces Impacting Shigella Infection.","Cell host & microbe",NA,"10.1016/j.chom.2019.09.007",2278,"PubMed","r"
"Wang, Li and Li, Zhongyu and Xu, Cong and Qin, Jianhua","Bioinspired Engineering of Organ-on-Chip Devices",NA,"The human body can be viewed as an organism consisting of a variety of cellular and non-cellular materials interacting in a highly ordered manner. Its complex and hierarchical nature inspires the multi-level recapitulation of the human body in order to gain insights into the inner workings of life. While traditional cell culture models have led to new insights into the cellular microenvironment and biological control in vivo, deeper understanding of biological systems and human pathophysiology requires the development of novel model systems that allow for analysis of complex internal and external interactions within the cellular microenvironment in a more relevant organ context. Engineering organ-on-chip systems offers an unprecedented opportunity to unravel the complex and hierarchical nature of human organs. In this chapter, we first highlight the advances in microfluidic platforms that enable engineering of the cellular microenvironment and the transition from cells-on-chips to organs-on-chips. Then, we introduce the key features of the emerging organs-on-chips and their proof-of-concept applications in biomedical research. We also discuss the challenges and future outlooks of this state-of-the-art technology.","10.1007/978-981-13-9791-2\_13",3307,"Web of Science","r"
"Wang L and Li Z and Xu C and Qin J","Bioinspired Engineering of Organ-on-Chip Devices.","Advances in experimental medicine and biology","The human body can be viewed as an organism consisting of a variety of cellular and non-cellular materials interacting in a highly ordered manner. Its complex and hierarchical nature inspires the multi-level recapitulation of the human body in order to gain insights into the inner workings of life. While traditional cell culture models have led to new insights into the cellular microenvironment and biological control in vivo, deeper understanding of biological systems and human pathophysiology requires the development of novel model systems that allow for analysis of complex internal and external interactions within the cellular microenvironment in a more relevant organ context. Engineering organ-on-chip systems offers an unprecedented opportunity to unravel the complex and hierarchical nature of human organs. In this chapter, we first highlight the advances in microfluidic platforms that enable engineering of the cellular microenvironment and the transition from cells-on-chips to organs-on-chips. Then, we introduce the key features of the emerging organs-on-chips and their proof-of-concept applications in biomedical research. We also discuss the challenges and future outlooks of this state-of-the-art technology.","10.1007/978-981-13-9791-2_13",2608,"PubMed","k"
"Marx U. and Andersson T.B. and Bahinski A. and Beilmann M. and Beken S. and Cassee F.R. and Cirit M. and Daneshian M. and Fitzpatrick S. and Frey O. and Gaertner C. and Giese C. and Griffith L. and Hartung T. and Heringa M.B. and Hoeng J. and De Jong W.H. and Kojima H. and Kuehnl J. and Leist M. and Luch A. and Maschmeyer I. and Sakharov D. and Sips A.J.A.M. and Steger-Hartmann T. and Tagle D.A. and Tonevitsky A. and Tralau T. and Tsyb S. and Van De Stolpe A. and Vandebriel R. and Vulto P. and Wang J. and Wiest J. and Rodenburg M. and Roth A.","Biology-inspired microphysiological system approaches to solve the prediction dilemma of substance testing","Altex","The recent advent of microphysiological systems-microfluidic biomimetic devices that aspire to emulate the biology of human tissues, organs and circulation in vitro-promises to enable a global paradigm shift in drug development. An extraordinary US government initiative and various dedicated research programs in Europe and Asia recently have led to the first cutting-edge achievements of human single-organ and multi-organ engineering based on microphysiological systems. The expectation is that test systems established on this basis will model various disease stages and predict toxicity, immunogenicity, ADME profiles and treatment efficacy prior to clinical testing. Consequently, this technology could significantly affect the way drug substances are developed in the future. Furthermore, microphysiological system-based assays may revolutionize our current global programs of prioritization of hazard characterization for any new substances to be used, for example, in agriculture, food, ecosystems or cosmetics, thus replacing the use of laboratory animal models. Here, thirty-six experts from academia, industry and regulatory bodies present the results of an intensive workshop (held in June 2015, Berlin, Germany). They review the status quo of microphysiological systems available today against industry needs, and assess the broad variety of approaches with fit-for-purpose potential in the drug development cycle. Feasible technical solutions to reach the next levels of human biology in vitro are proposed. Furthermore, key organ-on-a-chip case studies as well as various national and international programs are highlighted. Finally, a roadmap into the future towards more predictive and regulatory-accepted substance testing on a global scale is outlined.","10.145/3/aitex.1603161",1159,"EMBASE","r"
