ID,pre_word,include
195,active,n
196,within,n
198,promoting,n
199,advanced,n
201,aged,n
208,creating,n
209,separate,n
210,recovery,n
211,8,n
212,quantifying,n
219,posttreatment,n
220,validated,n
222,vivo,n
225,most,n
226,micro,n
227,bipotential,n
231,including,n
233,healthy,n
234,between,n
236,employing,n
238,differentiating,n
239,fusion,n
240,current,n
241,engineer,n
244,emerging,n
245,form,n
246,heterogenous,n
247,more,n
253,across,n
254,solid,n
256,move,n
257,regionalized,n
259,based,n
260,scalable,n
261,similar,n
266,autologous,n
267,produced,n
268,impaired,n
269,lobed,n
270,used,n
271,kd,n
275,engineered,n
276,unlabeled,n
277,distinct,n
279,both,n
281,impairs,n
284,performed,n
285,18,n
287,malignant,n
289,tolerant,n
290,type,n
292,cultured,n
297,infects,n
298,forming,n
301,various,n
302,de,n
303,cultivo,n
304,modelo,n
305,cleared,n
307,reduced,n
308,novel,n
309,steering,n
311,by,n
312,lgr5,n
313,cryptevillus,n
315,reaggregation,n
316,treated,n
317,described,n
318,interface,n
319,xenografted,n
320,our,n
321,combined,n
324,exposed,n
325,only,n
327,specific,n
328,vascularize,n
329,higher,n
330,lower,n
331,confirmed,n
332,complex,n
333,normal,n
338,2d,n
339,paracrine,n
340,through,n
341,at,n
342,early,n
343,nonba,n
344,spherical,n
350,sectioned,n
352,created,n
354,caused,n
357,stable,n
359,producing,n
360,throughput,n
361,imaging,n
362,surviving,n
363,after,n
365,make,n
367,well,n
371,model,n
372,modeling,n
373,automated,n
374,silk,n
375,inter,n
376,affect,n
377,produce,n
379,stained,n
380,whether,n
381,generated,n
382,while,n
383,free,n
384,mean,n
387,cryopreserved,n
389,processing,n
395,be,n
396,following,n
398,sustaining,n
408,called,n
410,isolated,n
415,but,n
419,multicellular,n
423,makes,n
426,medium,n
427,promising,n
429,into,n
430,inhibited,n
431,containing,n
433,cntnap2,n
434,quality,n
435,distinctive,n
437,those,n
439,programmable,n
440,3sa,n
441,primary,n
442,independent,n
443,1300,n
444,ipmninv,n
445,embedded,n
446,sensorimotor,n
447,conduct,n
449,chambered,n
450,mixed,n
451,same,n
452,future,n
453,naive,n
454,three,n
455,subcloned,n
458,wt,n
459,vascularized,n
460,noncf,n
462,limiting,n
463,repaired,n
464,affected,n
465,positive,n
466,premature,n
467,ivd,n
468,maintaining,n
470,branched,n
472,promoted,n
476,unique,n
477,new,n
478,analyze,n
483,diminished,n
487,promote,n
488,patterned,n
489,via,n
490,miniaturized,n
491,physiological,n
492,knockout,n
495,differentiated,n
496,10,n
497,beating,n
501,serial,n
503,negative,n
504,thawed,n
506,directing,n
507,maintain,n
508,culture,n
509,retained,n
511,mosaic,n
512,toward,n
514,bioprinted,n
515,representative,n
516,transplantable,n
518,rapid,n
519,aberrant,n
520,smg,n
522,robust,n
523,skewed,n
525,functional,n
527,assembled,n
528,enabling,n
529,traditional,n
530,clonal,n
531,parent,n
534,canine,n
538,culturing,n
539,labeled,n
540,direct,n
544,system,n
545,vitrogel,n
546,supported,n
547,reached,n
548,conventional,n
549,standard,n
550,simplifies,n
551,describes,n
552,preserve,n
553,characterize,n
555,obtaining,n
556,seam,n
560,restrict,n
561,structured,n
562,inhibit,n
564,minimal,n
565,f508del,n
566,alters,n
567,enriched,n
568,comparing,n
569,loaded,n
570,inside,n
573,7th,n
575,grown,n
579,15,n
580,3,n
582,disrupted,n
583,grafted,n
584,evaluate,n
585,decreased,n
586,living,n
589,modified,n
593,fused,n
594,downstream,n
596,identified,n
597,chimeric,n
598,detailed,n
601,alter,n
603,msc,n
604,preparing,n
605,paring,n
608,adherent,n
609,when,n
610,examine,n
611,noncancer,n
613,dissociate,n
614,patientderived,n
616,older,n
617,p53ko,n
618,kp,n
621,are,n
622,combining,n
623,d,n
629,among,n
630,primed,n
631,invading,n
632,stimulated,n
633,tka,n
634,dissociated,n
635,successful,n
637,reproducible,n
638,collective,n
640,uniform,n
641,m,n
642,gfp,n
643,undifferentiated,n
644,ctr,n
645,fragile,n
646,increases,n
647,promotes,n
648,develop,n
650,source,n
651,6,n
652,mcf10a,n
653,harnessing,n
656,secreting,n
658,integrating,n
661,collagen,n
662,expressing,n
663,low,n
664,candidate,n
666,formulate,n
668,gestational,n
669,tractable,n
674,31,n
675,19,n
680,treating,n
681,significant,n
682,hydrogel,n
683,20,n
684,diverse,n
686,transduced,n
687,align,n
688,substantial,n
689,per,n
690,7,n
693,t21,n
694,amplifiable,n
695,tramp,n
696,preventing,n
697,impacts,n
701,deterministic,n
702,controlling,n
703,myelinating,n
705,directed,n
707,merges,n
709,mut,n
710,hyper,n
711,parental,n
715,applied,n
716,budding,n
717,around,n
721,nontreated,n
724,rabbit,n
725,companion,n
726,hypoxic,n
728,advantage,n
729,several,n
730,hydro,n
731,matrigel,n
732,limit,n
733,define,n
734,termed,n
736,upscaled,n
737,integrated,n
738,larger,n
740,spatial,n
741,centrally,n
742,growing,n
743,null,n
745,hub,n
746,cho,n
749,overexpression,n
750,isogenic,n
751,quantified,n
752,pooled,n
755,compared,n
757,development,n
758,bovine,n
759,ffpe,n
760,frozen,n
761,concentrate,n
762,orthotopic,n
765,homogenous,n
767,biomimetic,n
768,60,n
769,tau,n
770,personalised,n
771,use,n
772,syngeneic,n
773,tumorigenic,n
774,neutralizing,n
775,encapsulating,n
776,nedas,n
778,corresponding,n
780,nonresponding,n
781,generating,n
782,p,n
785,arcuate,n
786,existing,n
787,multiple,n
788,infected,n
789,monitor,n
790,fol,n
791,irinofirinox,n
792,arg191his,n
794,grew,n
795,utilizing,n
797,way,n
798,if,n
799,cumbersome,n
801,some,n
802,appropriate,n
803,fabricating,n
807,organizing,n
808,many,n
809,mimicked,n
810,better,n
811,minimize,n
814,kpc,n
815,elongating,n
818,inoculated,n
819,contained,n
821,grow,n
824,superior,n
825,supports,n
826,transgenic,n
827,increase,n
828,reduces,n
829,arresting,n
830,subsequent,n
832,detects,n
833,achieves,n
834,clinical,n
835,personalized,n
837,immunocompetent,n
838,targeted,n
839,perform,n
840,explant,n
843,ectopic,n
844,resolving,n
845,assess,n
847,up,n
848,v337m,n
849,sustained,n
850,round,n
851,shaped,n
853,resultant,n
855,sophisticated,n
856,optimize,n
857,studying,n
858,r1162x,n
859,w1282x,n
860,bigger,n
863,chemoresistant,n
865,lapse,n
867,exposing,n
868,preformed,n
869,16,n
870,applying,n
871,initiating,n
873,restores,n
877,heparg,n
878,senescent,n
879,contain,n
883,heterogeneous,n
884,assemble,n
887,caski,n
888,affecting,n
889,allows,n
892,optimal,n
893,bmi,n
894,positioning,n
895,fl,n
896,hybrid,n
897,eighteen,n
898,dispersed,n
899,primate,n
900,egfrviii,n
903,viable,n
905,local,n
906,authors,n
907,elongated,n
908,regulates,n
909,engineering,n
910,evolving,n
912,secreted,n
914,include,n
916,injured,n
918,kc,n
920,restored,n
921,attached,n
922,large,n
923,even,n
924,residual,n
926,monitoring,n
929,manual,n
930,uses,n
931,principal,n
932,potent,n
936,innervated,n
938,heterochronic,n
940,mass,n
944,shipping,n
945,its,n
946,extends,n
947,unhealthy,n
950,accelerate,n
951,species,n
953,against,n
954,associated,n
955,mutated,n
956,regulating,n
957,efficient,n
958,initial,n
959,maintains,n
960,960,n
961,yielded,n
963,lasting,n
964,recent,n
965,derive,n
966,artificial,n
969,challenge,n
970,responsive,n
971,orthogonal,n
974,xeno,n
975,made,n
976,transplant,n
977,threedimensionalcultured,n
978,delivering,n
979,allowable,n
980,allogeneic,n
981,irradiated,n
982,dorsal,n
983,ventral,n
984,relevant,n
986,at2,n
987,basal,n
988,clonogenic,n
989,named,n
990,structural,n
991,egfp,n
993,small,n
994,2020,n
996,5,n
997,underlying,n
998,line,n
999,distal,n
1000,proximal,n
1001,generation,n
1002,bespoke,n
1003,implementing,n
1006,analyzing,n
1010,pdc,n
1011,purified,n
1012,host,n
1013,postnatal,n
1018,predicting,n
1019,paired,n
1022,500,n
1023,induce,n
1024,passage,n
1026,coupling,n
1027,adequate,n
1029,advances,n
1030,study,n
1032,guided,n
1034,advance,n
1035,newborn,n
1036,characterized,n
1037,unified,n
1038,available,n
1039,studied,n
1040,constitute,n
1041,statement,n
1042,inflamed,n
1043,enhances,n
1044,whose,n
1046,delays,n
1047,protects,n
1048,prevented,n
1049,porcine,n
1052,than,n
1057,can,n
1058,later,n
1059,related,n
1060,reconstituted,n
1062,wildtype,n
1063,isolate,n
1064,duration,n
1067,static,n
1070,old,n
1071,month,n
1072,nonibd,n
1075,shipped,n
1076,enlarged,n
1077,native,n
1078,scaled,n
1081,powerful,n
1083,m1,n
1084,manageable,n
1085,confound,n
1086,distinguished,n
1088,inhibits,n
1089,sectioning,n
1090,removes,n
1091,identify,n
1093,challenged,n
1094,effective,n
1096,stereotypical,n
1098,propagated,n
1099,obtained,n
1101,hollow,n
1102,untreated,n
1103,irradiating,n
1104,cognate,n
1105,measured,n
1106,function,n
1107,resembling,n
1108,first,n
1109,heterocellular,n
1110,reactive,n
1111,cat,n
1112,disaggregated,n
1113,initiate,n
1114,validates,n
1115,mediated,n
1116,c,n
1119,biomaterial,n
1120,frequent,n
1121,towards,n
1123,optimized,n
1124,rich,n
1126,com,n
1127,mcf7,n
1128,temporal,n
1129,quantify,n
1130,which,n
1131,169,n
1132,repeatable,n
1133,coated,n
1134,pkc,n
1135,silico,n
1136,10w,n
1137,6w,n
1138,bioengineering,n
1139,l1,n
1140,nonluminal,n
1141,v,n
1143,nonvascularized,n
1145,recently,n
1148,spg11,n
1149,eec,n
1150,require,n
1151,prevents,n
1152,color,n
1153,formulating,n
1154,homogeneous,n
1155,determine,n
1156,prepare,n
1157,fabricate,n
1158,microspheroidal,n
1159,da,n
1160,preserves,n
1161,dissecting,n
1164,vdrdeltaiec,n
1165,edited,n
1166,heterotypic,n
1167,once,n
1169,induces,n
1170,ten,n
1171,abolish,n
1172,select,n
1173,cryopreservation,n
1175,numerous,n
1177,weanling,n
1180,unstained,n
1183,suppress,n
1184,chronic,n
1185,because,n
1187,nonmalignant,n
1189,noncarrier,n
1190,investigated,n
1191,merging,n
1192,whereas,n
1194,natural,n
1195,noninduced,n
1196,sustain,n
1197,nascent,n
1198,neo,n
1200,multilayered,n
1201,proliferative,n
1203,mutation,n
1204,amplified,n
1205,injected,n
1207,upregulated,n
1209,restricted,n
1210,render,n
1211,structure,n
1212,highlights,n
1213,supplementing,n
1215,knockin,n
1216,typical,n
1217,targeting,n
1218,bilayer,n
1219,recovered,n
1220,expanded,n
1221,56,n
1222,diseased,n
1223,total,n
1224,demonstrated,n
1225,alternative,n
1226,smooth,n
1227,42,n
1228,bacterial,n
1230,previous,n
1231,augmented,n
1232,since,n
1233,propagate,n
1236,standardized,n
1237,score,n
1238,commercialising,n
1239,branching,n
1240,potentially,n
1241,rwv,n
1242,mtgocm,n
1243,where,n
1244,organized,n
1245,relate,n
1247,showed,n
1248,lacked,n
1249,have,n
1250,infrequent,n
1251,benchmark,n
1252,illustrating,n
1253,arrayed,n
1255,expanding,n
1258,random,n
1259,contiguous,n
1260,surrounding,n
1261,day,n
1262,fabricated,n
1263,favoured,n
1265,skew,n
1267,92,n
1268,14,n
1269,prototypical,n
1270,corrected,n
1272,compartment,n
1273,lemgel,n
1274,nontransplanted,n
1275,yields,n
1276,engrafted,n
1277,particular,n
1278,endoscopic,n
1279,analyzed,n
1280,therapeutic,n
1281,ali,n
1282,7days,n
1284,33,n
1285,closely,n
1286,65,n
1287,refined,n
1288,heterozygous,n
1290,presents,n
1291,90,n
1292,encapsulated,n
1293,controlled,n
1295,driven,n
1298,37,n
1299,nearby,n
1300,suspension,n
1301,employed,n
1304,dko,n
1306,2,n
1307,proband,n
1309,every,n
1311,complete,n
1313,drive,n
1314,rescued,n
1315,manipulated,n
1318,establishes,n
1321,cylindrical,n
1322,specialized,n
1323,ablated,n
1324,35,n
1325,immunotherapeutic,n
1326,benign,n
1327,premalignant,n
1329,reassembled,n
1330,nonstimulated,n
1331,bearing,n
1332,links,n
1333,dependent,n
1336,sufficient,n
1337,constituting,n
1338,bulk,n
1340,renewing,n
1341,competent,n
1342,chimera,n
1343,patientyderived,n
1344,denser,n
1346,omi,n
1347,believe,n
1348,transformed,n
1349,r270h,n
1351,dense,n
1352,gobletenriched,n
1354,unstimulated,n
1355,fixed,n
1357,pre,n
1358,proliferating,n
1360,aadko,n
1361,introducing,n
1362,aggregated,n
1363,alone,n
1364,additional,n
1365,fusing,n
1366,mpp,n
1367,construct,n
1368,microcapsule,n
1369,inaccessible,n
1371,80,n
1372,pc3,n
1373,endow,n
1375,homozygous,n
1378,endothelialized,n
1379,involves,n
1382,h,n
1384,multilineage,n
1385,perturbs,n
1386,protecting,n
1387,bipotent,n
1388,sensory,n
1389,fbxw7deltag,n
1390,test,n
1391,reconstitute,n
1392,silac,n
1393,allow,n
1394,limits,n
1395,1,n
1396,enhance,n
1397,impact,n
1398,utilize,n
1399,seen,n
1400,considering,n
1401,process,n
1402,mdck,n
1405,sampled,n
1406,multitissue,n
1407,microfluidic,n
1409,lived,n
1410,unshocked,n
1411,stinging,n
1412,porcndel,n
1413,nonstellate,n
1414,sy5y,n
1415,trkb,n
1416,colonize,n
1417,determining,n
1418,trabacular,n
1420,practical,n
1421,seeded,n
1422,a1,n
1423,improves,n
1426,mammalian,n
1427,translational,n
1428,review,n
1429,bio,n
1433,harness,n
1434,noncancerous,n
1435,about,n
1437,facilitating,n
1438,accurate,n
1440,complicated,n
1441,126,n
1445,introduce,n
1447,reliable,n
1449,autonomous,n
1450,over,n
1451,includes,n
1452,infused,n
1453,meets,n
1454,bioengineered,n
1455,tunable,n
1456,standalone,n
1457,findings,n
1458,namely,n
1459,governing,n
1460,visualize,n
1462,instruct,n
1463,refine,n
1464,facilitate,n
1465,years,n
1466,integrate,n
1467,orchestrate,n
1468,unlike,n
1469,sliced,n
1470,polarized,n
1473,scale,n
1474,reversed,n
1475,adopt,n
1477,combine,n
1478,highlight,n
1479,exploiting,n
1480,beyond,n
1481,trunk,n
1482,multisystem,n
1485,exploring,n
1486,content,n
1487,coculture,n
1488,deciphering,n
1489,underpinning,n
1491,rethinking,n
1492,position,n
1493,grant,n
1494,enhancing,n
1495,discuss,n
1496,influence,n
1497,vascularizing,n
1498,throughout,n
1499,incorporating,n
1500,has,n
1501,assembly,n
1502,bridging,n
1503,drives,n
1504,comprise,n
1505,complement,n
1506,unbiased,n
1507,stabilized,n
1508,behind,n
1509,complementing,n
1510,distinguish,n
1511,computational,n
1512,accelerating,n
1513,promise,n
1514,underlies,n
1515,principally,n
1516,proving,n
1517,predict,n
1518,specifically,n
1519,validate,n
1520,emergent,n
1521,replacement,n
1522,biobanking,n
1523,assisting,n
1524,outline,n
1525,expand,n
1526,included,n
1527,common,n
1528,macroscale,n
1529,coined,n
1530,microbe,n
1531,entitled,n
1532,morphogenesis,n
1533,multilayer,n
1534,describing,n
1535,leading,n
1536,before,n
1537,could,n
1538,increasing,n
1539,somewhat,n
1540,maximize,n
1541,deliver,n
1542,investigate,n
1543,enclose,n
1544,trackable,n
1545,extended,n
1548,thawing,n
1549,actual,n
1550,akst,n
1551,a,n
1552,cas9,n
1553,selected,n
1554,28,n
1555,given,n
1557,printed,n
1558,pair,n
1559,limited,n
1560,abnormal,n
1563,mount,n
1564,isolates,n
1565,multilobed,n
1568,essential,n
1569,approaches,n
1572,investigating,n
1573,immature,n
1575,incorporated,n
1576,assembling,n
1577,fidelity,n
1578,regenerated,n
1579,mini,n
1584,infection,n
1586,hipro,n
1587,g1,n
1588,automatable,n
1589,four,n
1590,utilized,n
1591,fate,n
1592,proper,n
1593,cavitated,n
1594,providing,n
1595,multiplex,n
1596,4mal,n
1597,manipulate,n
1598,nos,n
1602,yield,n
1603,stereotypic,n
1606,inducible,n
1607,blebbistatin,n
1608,cm,n
1609,preculture,n
1612,showing,n
1614,intracellular,n
1616,simple,n
1617,developmental,n
1618,nested,n
1619,optimizing,n
1622,microvascularized,n
1623,multidimensional,n
1624,bioprinting,n
1625,glycoengineered,n
1628,mimicking,n
1629,provide,n
1632,influences,n
1633,highly,n
1635,overcoming,n
1636,antioxidative,n
1637,facile,n
1638,durable,n
1639,volcanogenic,n
1640,humane,n
1641,summarizes,n
1642,condensed,n
1643,intelligent,n
1644,ibcs,n
1645,internal,n
1649,lead,n
1650,cerbral,n
1651,altered,n
1652,designed,n
1654,23,n
1655,major,n
1656,d14,n
1657,25,n
1658,atoh1iko,n
1659,immuno,n
1660,sensitive,n
1661,diameter,n
1662,comprehensive,n
1663,connected,n
1664,organising,n
1665,follow,n
1666,organised,n
1667,unaffected,n
1669,opposite,n
1670,nondifferentiated,n
1671,ordered,n
1672,pan,n
1675,decreases,n
1676,comparable,n
1677,reflected,n
1678,present,n
1679,identifies,n
1680,confine,n
1681,interacting,n
1716,results,n
1717,finding,n
1718,bioprint,n
1719,interactions,n
1720,zebrafish,n
1721,hampered,n
1722,microenvironment,n
1723,bombasal,n
1724,distinguishing,n
1725,peg,n
1726,combines,n
1727,phenotypic,n
1728,gorilla,n
1729,staging,n
1730,derivative,n
1731,demensional,n
1733,sequence,n
1734,onchip,n
1736,poor,n
1737,4,n
1738,extending,n
1739,dimentional,n
1741,persistent,n
1742,recapitulated,n
1744,lab,n
1753,innervation,n
1754,injury,n
1764,body,n
1775,dysfunction,n
1777,types,n
1778,nl63,n
1794,recirculation,n
1803,peristaltic,n
1808,organotypic,n
1811,gradient,n
1813,matured,n
1814,bodies,n
1815,bule,n
1816,systems,n
1817,directly,n
1818,art,n
1823,phenotypes,n
1831,killing,n
1834,mutans,n
1837,apoptosis,n
1839,regions,n
1842,materials,n
1843,activity,n
1845,efficacy,n
1847,simultaneous,n
1849,determined,n
1852,transducers,n
1854,formation,n
1856,cigarettes,n
1861,provides,n
1862,allergy,n
1863,digestion,n
1864,response,n
1865,fbr,n
1867,remodeling,n
1873,disc,n
1874,microenvironments,n
1876,amd,n
1879,flow,n
1881,scar,n
1884,pathophysiology,n
1885,functions,n
1886,enables,n
1890,transport,n
1891,sites,n
1895,features,n
1897,channels,n
1898,cultures,n
1899,gradients,n
1900,semiconductor,n
1904,level,n
1906,consistent,n
1907,routine,n
1908,models,n
1909,microcirculation,n
1912,pixel,n
1915,splenon,n
1917,repro,n
1918,ogans,n
1920,eight,n
1921,respiration,n
1922,constructs,n
1923,mtf,n
1930,manufactured,n
1931,respective,n
1932,methods,n
1937,pharmacokinetics,n
1940,responses,n
1941,immunology,n
1942,trials,n
1946,labs,n
1948,laboratories,n
1949,rhythm,n
1950,biology,n
1952,components,n
1953,mechanobiology,n
1954,you,n
1955,place,n
1957,drugs,n
1958,drug,n
1959,fishing,n
1961,cleaner,n
1962,manipulations,n
1963,neurotransmitters,n
1964,hemorrhage,n
1965,treatment,n
1966,osteogenesis,n
1967,evaluated,n
1970,pioneering,n
1974,cavitation,n
1977,maintained,n
1984,bmecs,n
1987,down,n
1988,potential,n
1989,2dmgos,n
1994,adjustable,n
1996,dictates,n
1998,brian,n
1999,contact,n
2004,36,n
2006,devices,n
2007,device,n
2008,analysis,n
2010,them,n
2011,physiome,n
2012,assessed,n
2013,assay,n
2014,biosensors,n
2015,worm,n
2016,molecules,n
2017,breathing,n
2018,physiodynamic,n
2019,days,n
2021,connection,n
2025,en,n
3,oviduct,y
5,kidney,y
10,retinal,y
12,derived,y
14,gastrointestinal,y
18,brain,y
19,tonsil,y
21,ocular,y
22,tumor,y
24,hcc,y
27,plc,y
31,ub,y
32,cd,y
33,epithelial,y
35,cholangiocyte,y
36,hepatic,y
38,alveolar,y
39,lung,y
40,pdac,y
42,like,y
44,jejunal,y
46,cancer,y
48,cardiac,y
49,cortical,y
53,nsclc,y
54,colon,y
55,progenitor,y
60,epithelium,y
68,os,y
70,cerebral,y
76,liver,y
78,colonic,y
86,renal,y
87,islet,y
94,mammary,y
96,crc,y
97,cca,y
99,tumour,y
103,trophoblast,y
105,decidua,y
106,airway,y
107,cell,y
109,carcinoma,y
112,pituitary,y
118,gut,y
120,crpc,y
121,iec,y
125,fetal,y
129,pancreatic,y
133,bladder,y
134,bc,y
135,gastric,y
147,follicle,y
148,hf,y
150,stomach,y
151,gi,y
152,bone,y
156,sg,y
163,neuroectoderm,y
165,neuroepithelial,y
171,esophageal,y
182,embryonic,y
188,multiocular,y
189,corneal,y
190,rpe,y
194,adrenal,y
200,adenoma,y
202,cerebellum,y
203,forebrain,y
204,neural,y
205,muscle,y
206,rectal,y
207,adenocarcinoma,y
213,glioblastoma,y
214,gbm,y
215,ovarian,y
216,ileal,y
217,si,y
218,trcc,y
229,ectocervical,y
232,prostate,y
242,vascular,y
243,skin,y
248,endometrial,y
249,retina,y
262,duodenal,y
263,antral,y
264,cystic,y
265,cholangiocarcinoma,y
272,testicular,y
274,striatal,y
278,melanoma,y
280,sarcoma,y
282,heart,y
286,meningioma,y
291,cerebellar,y
293,patient,y
295,gc,y
299,xenograft,y
300,tissue,y
306,cf,y
314,midbrain,y
326,neurovascular,y
334,cscc,y
335,scc,y
345,ba,y
346,keratinocyte,y
347,testis,y
351,gallbladder,y
358,fat,y
368,breast,y
378,glioma,y
385,thymic,y
388,eye,y
390,mesenchymal,y
392,otic,y
393,cartilage,y
394,esophagus,y
399,hindbrain,y
400,crypt,y
401,pda,y
402,pancreas,y
403,bronchial,y
404,oesophageal,y
405,isc,y
406,cochlear,y
407,neuronal,y
411,npc,y
412,mucosa,y
413,ipmn,y
417,colorectal,y
421,thyroid,y
424,scz,y
425,cra,y
432,arpkd,y
436,hgsc,y
457,tnbc,y
461,chondrogenic,y
471,placental,y
474,taste,y
475,biliary,y
480,ehd,y
481,ihd,y
482,lgg,y
485,sc,y
505,chordoma,y
510,inflammatory,y
517,hipsc,y
526,islets,y
532,cartilaginous,y
533,multi,y
537,hepatocyte,y
542,isg,y
543,duodenum,y
554,hne,y
557,adipose,y
559,wat,y
563,icc,y
571,atresia,y
572,neoplastic,y
574,neuron,y
576,mucosal,y
577,pdx,y
581,ehbd,y
587,nash,y
588,ileum,y
590,utuc,y
591,mge,y
592,rb,y
595,nose,y
599,lusc,y
600,luad,y
602,adipocyte,y
606,ear,y
607,nerve,y
612,btc,y
615,nbs,y
624,swg,y
625,thalamic,y
626,vaginal,y
639,luminal,y
649,epididymal,y
654,mrt,y
657,skeletal,y
659,neuro,y
660,cervical,y
665,placenta,y
667,adenomyosis,y
670,parenchymal,y
671,mcrpc,y
672,chondral,y
673,synovial,y
676,ie,y
677,gbc,y
678,mesoderm,y
679,pm,y
685,gonadal,y
691,tumours,y
692,cancerous,y
698,epithelia,y
699,ovb,y
700,pc,y
706,asc,y
708,fte,y
712,reproductive,y
713,oa,y
714,pneumocyte,y
718,ptc,y
719,ht,y
720,tfc,y
722,ctc,y
723,valve,y
727,hepatobiliary,y
735,hua,y
739,pca,y
744,adpkd,y
747,cac,y
748,extrahepatic,y
753,sys,y
754,deriving,y
756,lingual,y
764,bbb,y
766,hgsoc,y
777,ad,y
779,epidermis,y
783,follicular,y
784,pulmonary,y
793,osteochondral,y
796,pmse,y
800,hfsc,y
804,dpsc,y
805,dipg,y
806,neuroblastoma,y
812,disease,y
813,hepatocarcinoma,y
816,hpsc,y
817,ft,y
820,fxs,y
822,chondrosarcoma,y
823,dfc,y
831,hcrc,y
836,hga,y
841,endometriosis,y
842,endometrium,y
846,acinar,y
852,squamous,y
854,bronchiolar,y
861,nec,y
862,parathyroid,y
864,hofs,y
866,foetal,y
872,uc,y
874,lungs,y
875,gb,y
876,membrane,y
880,lg,y
881,salivary,y
882,lacrimal,y
885,ghofs,y
886,oviductal,y
890,oscc,y
891,srcc,y
901,epidermal,y
902,ihcc,y
904,tip,y
911,antrum,y
913,monolayer,y
915,cytotrophoblast,y
917,chondrocyte,y
919,cc,y
925,jejunum,y
927,oral,y
928,tooth,y
933,sclc,y
934,cutaneous,y
935,spinal,y
937,ipsc,y
939,icm,y
941,eac,y
942,cardiomyocyte,y
943,testes,y
948,endocrine,y
949,forestomach,y
952,crpm,y
962,gonad,y
967,hippocampal,y
968,hypothalamic,y
972,intraductal,y
973,nen,y
985,raird,y
992,chp,y
1004,triphasic,y
1005,villus,y
1007,neuromuscular,y
1009,drg,y
1014,lpc,y
1015,lsec,y
1016,tracheal,y
1017,hepatoblastoma,y
1020,lymphoma,y
1021,limbal,y
1025,nontumor,y
1028,sebaceous,y
1031,olfactory,y
1033,mpd,y
1045,enteral,y
1050,subcortical,y
1051,caecum,y
1053,rectum,y
1054,schizophrenia,y
1055,caecal,y
1056,epiblast,y
1061,usc,y
1065,csf,y
1066,hee,y
1068,brainstem,y
1073,ibd,y
1074,pd,y
1079,ac,y
1080,cellular,y
1082,neocortical,y
1092,spleen,y
1095,fibrosis,y
1097,oc,y
1100,enteric,y
1117,tsa,y
1118,osteogenic,y
1122,acini,y
1125,haematopoietic,y
1142,trachea,y
1144,hnscc,y
1146,gfs,y
1147,dpmc,y
1162,boundary,y
1163,colitis,y
1168,endodermal,y
1176,fibrotic,y
1178,bm,y
1179,lympho,y
1181,pcc,y
1182,ds,y
1186,cortex,y
1188,rc,y
1193,nepc,y
1199,urothelial,y
1202,pdox,y
1206,cccc,y
1208,urethral,y
1214,hihep,y
1229,lga,y
1234,tao,y
1235,cyborg,y
1254,telencephalon,y
1256,ctb,y
1257,umbo,y
1266,oe,y
1271,lymphoid,y
1283,dga,y
1289,dp,y
1294,neuroectodermal,y
1296,trophectoderm,y
1297,hypothalamus,y
1302,metastases,y
1303,precardiac,y
1305,vestibular,y
1308,hepatoma,y
1310,cells,y
1312,hd,y
1316,neuroendocrine,y
1317,dermal,y
1319,hematopoietic,y
1320,spheroidal,y
1328,pkd,y
1335,submucosal,y
1339,thymus,y
1345,urine,y
