"author","title","journal","abstract","doi","ID","database","status"
"Vairel, B. and Woisard, V. and De Bonnecaze, G. and Uro-Coste, E. and Vergez, S.","A case of laryngeal sialolipoma: Pathology in focus","Revue de Laryngologie Otologie Rhinologie","We are reporting a rare case of laryngeal sialolipoma in a 66-year-old male affected by Parkinson's disease. He was evaluated for dysarthria and swallowing disorders during which a swelling of the left ventricular fold, was always present and enlarged over a span of six months. Surgical removal of the left ventricular fold was performed. Microscopic examination, showed a circumscribed mass with organoid seromucous glands surrounded by numerous mature adipocytes, separated from the parenchyma and fatty tissue by dense fibrous tissue. This mass fulfilled the diagnostic criteria of sialolipoma. Sialolipomas can develop in a variety of sites in which there is both adipose and salivary gland tissue. To our knowledge, this is the first case of sialolipoma arising in the larynx.",NA,38221,"Scopus","r"
"Vairel B and Woisard V and De Bonnecaze G and Uro-Coste E and Vergez S","A case of laryngeal sialolipoma: pathology in focus.","Revue de laryngologie - otologie - rhinologie","We are reporting a rare case of laryngeal sialolipoma in a 66-year-old male affected by Parkinson's disease. He was evaluated for dysarthria and swallowing disorders during which a swelling of the left ventricular fold, was always present and enlarged over a span of six months. Surgical removal of the left ventricular fold was performed. Microscopic examination, showed a circumscribed mass with organoid seromucous glands surrounded by numerous mature adipocytes, separated from the parenchyma and fatty tissue by dense fibrous tissue. This mass fulfilled the diagnostic criteria of sialolipoma. Sialolipomas can develop in a variety of sites in which there is both adipose and salivary gland tissue. To our knowledge, this is the first case of sialolipoma arising in the larynx.",NA,16701,"PubMed","k"
"Sun D. and Evans L. and Perrone F. and Sokleva V. and Lim K. and Rezakhani S. and Lutolf M. and Zilbauer M. and Rawlins E.L.","A functional genetic toolbox for human tissue-derived organoids","eLife","Human organoid systems recapitulate key features of organs offering platforms for modelling developmental biology and disease. Tissue-derived organoids have been widely used to study the impact of extrinsic niche factors on stem cells. However, they are rarely used to study endogenous gene function due to the lack of efficient gene manipulation tools. Previously, we established a human foetal lung organoid system (Nikolic et al., 2017). Here, using this organoid system as an example, we have systematically developed and optimised a complete genetic toolbox for use in tissue-derived organoids. This includes 'Organoid Easytag', our efficient workflow for targeting all types of gene loci through CRISPR-mediated homologous recombination followed by flow cytometry for enriching correctly targeted cells. Our toolbox also incorporates conditional gene knockdown or overexpression using tightly inducible CRISPR interference and CRISPR activation which is the first efficient application of these techniques to tissue-derived organoids. These tools will facilitate gene perturbation studies in tissue-derived organoids facilitating human disease modelling and providing a functional counterpart to many ongoing descriptive studies, such as the Human Cell Atlas Project.Copyright Sun et al.","10.7554/elife.67886",3256,"EMBASE","k"
"Sun, Dawei and Evans, Lewis and Perrone, Francesca and Sokleva, Vanesa and Lim, Kyungtae and Rezakhani, Saba and Lutolf, Matthias and Zilbauer, Matthias and Rawlins, Emma L.","A functional genetic toolbox for human tissue-derived organoids","ELIFE","Human organoid systems recapitulate key features of organs offering platforms for modelling developmental biology and disease. Tissue-derived organoids have been widely used to study the impact of extrinsic niche factors on stem cells. However, they are rarely used to study endogenous gene function due to the lack of efficient gene manipulation tools. Previously, we established a human foetal lung organoid system (Nikolic et al., 2017). Here, using this organoid system as an example, we have systematically developed and optimised a complete genetic toolbox for use in tissue-derived organoids. This includes `Organoid Easytag', our efficient workflow for targeting all types of gene loci through CRISPR-mediated homologous recombination followed by flow cytometry for enriching correctly targeted cells. Our toolbox also incorporates conditional gene knockdown or overexpression using tightly inducible CRISPR interference and CRISPR activation which is the first efficient application of these techniques to tissue-derived organoids. These tools will facilitate gene perturbation studies in tissue-derived organoids facilitating human disease modelling and providing a functional counterpart to many ongoing descriptive studies, such as the Human Cell Atlas Project.","10.7554/elife.67886; 10.7554/elife.67886.sa1; 10.7554/elife.67886.sa2",23016,"Web of Science","r"
"Augsornworawat, Punn and Velazco-Cruz, Leonardo and Song, Jiwon and Millman, Jeffrey R.","A hydrogel platform for in vitro three dimensional assembly of human stem cell-derived islet cells and endothelial cells","ACTA BIOMATERIALIA","Differentiation of stem cells into functional replacement cells and tissues is a major goal of the regenerative medicine field. However, one limitation has been organization of differentiated cells into multi-cellular, three-dimensional assemblies. The islets of Langerhans contain many endocrine and non-endocrine cell types, such as insulin-producing beta cells and endothelial cells. Despite the potential importance of endothelial cells to islet function, facilitating interactions between endothelial cells and islet endocrine cell types already differentiated from human embryonic stem cells has been difficult in vitro. We have developed a strategy of assembling human embryonic stem cell-derived islet cells with endothelial cells into three-dimensional aggregates on a hydrogel. The resulting islet organoids express beta cell and other endocrine markers and are functional, capable of undergoing glucose-stimulated insulin secretion. This assembly was not observed on traditional tissue culture plastic and in aggregates generated in suspension culture, highlighting how physical culture conditions greatly influence the interactions among these cell types. These results provide a platform for evaluating the effects of the islet tissue microenvironment on human embryonic stem cell-derived beta cells and other islet endocrine cells to develop tissue engineered islets. Statement of Significance Differentiation of insulin-producing cells and tissues from human pluripotent stem cells is being investigated for diabetes cell replacement therapies. Despite successes generating beta cells, the cell type responsible for glucose-stimulated insulin secretion within the islets of Langerhans found in the pancreas, successful assembly with other non-endocrine cell types, particularly endothelial cells, has been technically challenging. The present study provides a platform for the assembly of endothelial cells with SC-beta and other endocrine cells, producing islet organoids that are functional and express beta cell markers, that can be used to study the islet microenvironment and islet tissue engineering. (C) 2019 Acta Materialia Inc. Published by Elsevier Ltd. All rights reserved.","10.1016/j.actbio.2019.08.03",26716,"Web of Science","r"
"Augsornworawat P and Velazco-Cruz L and Song J and Millman JR","A hydrogel platform for in vitro three dimensional assembly of human stem cell-derived islet cells and endothelial cells.","Acta biomaterialia","Differentiation of stem cells into functional replacement cells and tissues is a major goal of the regenerative medicine field. However, one limitation has been organization of differentiated cells into multi-cellular, three-dimensional assemblies. The islets of Langerhans contain many endocrine and non-endocrine cell types, such as insulin-producing  cells and endothelial cells. Despite the potential importance of endothelial cells to islet function, facilitating interactions between endothelial cells and islet endocrine cell types already differentiated from human embryonic stem cells has been difficult in vitro. We have developed a strategy of assembling human embryonic stem cell-derived islet cells with endothelial cells into three-dimensional aggregates on a hydrogel. The resulting islet organoids express  cell and other endocrine markers and are functional, capable of undergoing glucose-stimulated insulin secretion. This assembly was not observed on traditional tissue culture plastic and in aggregates generated in suspension culture, highlighting how physical culture conditions greatly influence the interactions among these cell types. These results provide a platform for evaluating the effects of the islet tissue microenvironment on human embryonic stem cell-derived  cells and other islet endocrine cells to develop tissue engineered islets. STATEMENT OF SIGNIFICANCE: Differentiation of insulin-producing cells and tissues from human pluripotent stem cells is being investigated for diabetes cell replacement therapies. Despite successes generating  cells, the cell type responsible for glucose-stimulated insulin secretion within the islets of Langerhans found in the pancreas, successful assembly with other non-endocrine cell types, particularly endothelial cells, has been technically challenging. The present study provides a platform for the assembly of endothelial cells with SC- and other endocrine cells, producing islet organoids that are functional and express  cell markers, that can be used to study the islet microenvironment and islet tissue engineering.","10.1016/j.actbio.2019.08.031",15734,"PubMed","k"
"Sala F.G. and Matthews J.A. and Speer A.L. and Torashima Y. and Barthel E.R. and Grikscheit T.C.","A multicellular approach forms a significant amount of tissue-engineered small intestine in the mouse","Tissue Eng Part A","Tissue-engineered small intestine (TESI) has successfully been used to rescue Lewis rats after massive small bowel resection. In this study, we transitioned the technique to a mouse model, allowing investigation of the processes involved during TESI formation through the transgenic tools available in this species. This is a necessary step toward applying the technique to human therapy. Multicellular organoid units were derived from small intestines of transgenic mice and transplanted within the abdomen on biodegradable polymers. Immunofluorescence staining was used to characterize the cellular processes during TESI formation. We demonstrate the preservation of Lgr5- and DcamKl1-positive cells, two putative intestinal stem cell populations, in proximity to their niche mesenchymal cells, the intestinal subepithelial myofibroblasts (ISEMFs), at the time of implantation. Maintenance of the relationship between ISEMF and crypt epithelium is observed during the growth of TESI. The engineered small intestine has an epithelium containing a differentiated epithelium next to an innervated muscularis. Lineage tracing demonstrates that all the essential components, including epithelium, muscularis, nerves, and some of the blood vessels, are of donor origin. This multicellular approach provides the necessary cell population to regenerate large amounts of intestinal tissue that could be used to treat short bowel syndrome.",NA,8091,"EMBASE","k"
"Sala, F.G. and Matthews, J.A. and Speer, A.L. and Torashima, Y. and Barthel, E.R. and Grikscheit, T.C.","A multicellular approach forms a significant amount of tissue-engineered small intestine in the mouse","Tissue Engineering - Part A","Tissue-engineered small intestine (TESI) has successfully been used to rescue Lewis rats after massive small bowel resection. In this study, we transitioned the technique to a mouse model, allowing investigation of the processes involved during TESI formation through the transgenic tools available in this species. This is a necessary step toward applying the technique to human therapy. Multicellular organoid units were derived from small intestines of transgenic mice and transplanted within the abdomen on biodegradable polymers. Immunofluorescence staining was used to characterize the cellular processes during TESI formation. We demonstrate the preservation of Lgr5- and DcamKl1-positive cells, two putative intestinal stem cell populations, in proximity to their niche mesenchymal cells, the intestinal subepithelial myofibroblasts (ISEMFs), at the time of implantation. Maintenance of the relationship between ISEMF and crypt epithelium is observed during the growth of TESI. The engineered small intestine has an epithelium containing a differentiated epithelium next to an innervated muscularis. Lineage tracing demonstrates that all the essential components, including epithelium, muscularis, nerves, and some of the blood vessels, are of donor origin. This multicellular approach provides the necessary cell population to regenerate large amounts of intestinal tissue that could be used to treat short bowel syndrome.  Copyright 2011, Mary Ann Liebert, Inc.","10.1089/ten.tea.2010.0564",38331,"Scopus","r"
"Regent F. and Chen H.Y. and Kelley R.A. and Qu Z. and Swaroop A. and Li T.","A simple and efficient method for generating human retinal organoids","Mol. Vision","Purpose: Retinal organoids (ROs) derived from human pluripotent stem cells largely recapitulate key features of in vivo retinal development, thus permitting the study of retinogenesis, disease modeling, and therapeutic development. However, the complexities of current protocols limit the use of this in vitro system in applications requiring large-scale production of organoids. Currently, widely used methods require the isolation of presumed optic vesicle-like structures from adherent cultures by dissection, a labor-intensive and time-consuming step that involves extensive practice and training. Method(s): We report a simple and efficient method for generating ROs by scraping the entire adherent culture and growing the resulting cell aggregates in a free-floating condition. Result(s): Within 1 to 7 days following the procedure, emerging morphologically well-defined optic vesicles can be identified and harvested with ease. The transition from two-dimensional (2D) to 3D culture condition favored the formation of ROs from areas devoid of typical optic vesicle-like structures, thus increasing the RO yield. Moreover, ROs generated by this approach were more often associated with the pigment epithelium. Conclusion(s): This improved, robust, and efficient protocol should facilitate large-scale differentiation of pluripotent stem cells into retinal organoids in support of human disease modeling and therapy development.Copyright 2020 Molecular Vision.",NA,4791,"EMBASE","r"
"Regent, F. and Chen, H.Y. and Kelley, R.A. and Qu, Z. and Swaroop, A. and Li, T.","A simple and efficient method for generating human retinal organoids","Molecular Vision","Purpose: Retinal organoids (ROs) derived from human pluripotent stem cells largely recapitulate key features of in vivo retinal development, thus permitting the study of retinogenesis, disease modeling, and therapeutic development. However, the complexities of current protocols limit the use of this in vitro system in applications requiring large-scale production of organoids. Currently, widely used methods require the isolation of presumed optic vesicle-like structures from adherent cultures by dissection, a labor-intensive and time-consuming step that involves extensive practice and training. Method: We report a simple and efficient method for generating ROs by scraping the entire adherent culture and growing the resulting cell aggregates in a free-floating condition. Results: Within 1 to 7 days following the procedure, emerging morphologically well-defined optic vesicles can be identified and harvested with ease. The transition from two-dimensional (2D) to 3D culture condition favored the formation of ROs from areas devoid of typical optic vesicle-like structures, thus increasing the RO yield. Moreover, ROs generated by this approach were more often associated with the pigment epithelium. Conclusions: This improved, robust, and efficient protocol should facilitate large-scale differentiation of pluripotent stem cells into retinal organoids in support of human disease modeling and therapy development.  2020 Molecular Vision.",NA,35138,"Scopus","r"
"Regent, Florian and Chen, Holly Y. and Kelley, Ryan A. and Qu, Zepeng and Swaroop, Anand and Li, Tiansen","A simple and efficient method for generating human retinal organoids","MOLECULAR VISION","Purpose: Retinal organoids (ROs) derived from human pluripotent stem cells largely recapitulate key features of in vivo retinal development, thus permitting the study of retinogenesis, disease modeling, and therapeutic development. However, the complexities of current protocols limit the use of this in vitro system in applications requiring large-scale production of organoids. Currently, widely used methods require the isolation of presumed optic vesicle-like structures from adherent cultures by dissection, a labor-intensive and time-consuming step that involves extensive practice and training. Method: We report a simple and efficient method for generating ROs by scraping the entire adherent culture and growing the resulting cell aggregates in a free-floating condition. Results: Within 1 to 7 days following the procedure, emerging morphologically well-defined optic vesicles can be identified and harvested with ease. The transition from two-dimensional (2D) to 3D culture condition favored the formation of ROs from areas devoid of typical optic vesicle-like structures, thus increasing the RO yield. Moreover, ROs generated by this approach were more often associated with the pigment epithelium. Conclusions: This improved, robust, and efficient protocol should facilitate large-scale differentiation of pluripotent stem cells into retinal organoids in support of human disease modeling and therapy development.",NA,25782,"Web of Science","r"
"Regent F and Chen HY and Kelley RA and Qu Z and Swaroop A and Li T","A simple and efficient method for generating human retinal organoids.","Molecular vision","PURPOSE: Retinal organoids (ROs) derived from human pluripotent stem cells largely recapitulate key features of in vivo retinal development, thus permitting the study of retinogenesis, disease modeling, and therapeutic development. However, the complexities of current protocols limit the use of this in vitro system in applications requiring large-scale production of organoids. Currently, widely used methods require the isolation of presumed optic vesicle-like structures from adherent cultures by dissection, a labor-intensive and time-consuming step that involves extensive practice and training. METHOD: We report a simple and efficient method for generating ROs by scraping the entire adherent culture and growing the resulting cell aggregates in a free-floating condition. RESULTS: Within 1 to 7 days following the procedure, emerging morphologically well-defined optic vesicles can be identified and harvested with ease. The transition from two-dimensional (2D) to 3D culture condition favored the formation of ROs from areas devoid of typical optic vesicle-like structures, thus increasing the RO yield. Moreover, ROs generated by this approach were more often associated with the pigment epithelium. CONCLUSIONS: This improved, robust, and efficient protocol should facilitate large-scale differentiation of pluripotent stem cells into retinal organoids in support of human disease modeling and therapy development.",NA,14809,"PubMed","k"
"Fu C.Y. and Lin C.Y. and Chu W.C. and Chang H.Y.","A simple cell patterning method using magnetic particle-containing photosensitive poly (ethylene glycol) hydrogel blocks: a technical note","Tissue Eng Part C Methods","All human organs consist of multiple types of cells organized in a complex pattern to meet specific functional needs. One possible approach for reconstructing human organs in vitro is to generate cell sheets of a specific pattern and later stack them systematically by layer into a three-dimensional organoid. However, many commonly used cell patterning techniques suffer drawbacks such as dependence on sophisticated instruments and manipulation of cells under suboptimal growth conditions. Here, we describe a simple cell patterning method that may overcome these problems. This method is based on magnetic force and photoresponsive poly (ethylene glycol) diacrylate (PEG-DA) hydrogels. The PEG-DA hydrogel was magnetized by mixing with iron ferrous microparticles and then fabricated into blocks with a specific pattern by photolithography. The resolution of the hydrogel empty space pattern was approximately 150 mum and the generated hydrogel blocks can be remotely manipulated with a magnet. The magnetic PEG-DA blocks were used as a stencil to define the area for cell adhesion in the cell culture dish, and the second types of cells could be seeded after the magnetic block was removed to create heterotypic cell patterns. Cell viability assay has demonstrated that magnetic PEG-DA and the patterning process produced negligible effects on cell growth. Together, our results indicate that this magnetic hydrogel-based cell patterning method is simple to perform and is a useful tool for tissue surrogate assembly for disease mechanism study and drug screening.",NA,8097,"EMBASE","k"
"Fu, C.-Y. and Lin, C.-Y. and Chu, W.-C. and Chang, H.-Y.","A simple cell patterning method using magnetic particle-containing photosensitive poly (ethylene glycol) hydrogel blocks: A technical note","Tissue Engineering - Part C: Methods","All human organs consist of multiple types of cells organized in a complex pattern to meet specific functional needs. One possible approach for reconstructing human organs in vitro is to generate cell sheets of a specific pattern and later stack them systematically by layer into a three-dimensional organoid. However, many commonly used cell patterning techniques suffer drawbacks such as dependence on sophisticated instruments and manipulation of cells under suboptimal growth conditions. Here, we describe a simple cell patterning method that may overcome these problems. This method is based on magnetic force and photoresponsive poly (ethylene glycol) diacrylate (PEG-DA) hydrogels. The PEG-DA hydrogel was magnetized by mixing with iron ferrous microparticles and then fabricated into blocks with a specific pattern by photolithography. The resolution of the hydrogel empty space pattern was approximately 150 m and the generated hydrogel blocks can be remotely manipulated with a magnet. The magnetic PEG-DA blocks were used as a stencil to define the area for cell adhesion in the cell culture dish, and the second types of cells could be seeded after the magnetic block was removed to create heterotypic cell patterns. Cell viability assay has demonstrated that magnetic PEG-DA and the patterning process produced negligible effects on cell growth. Together, our results indicate that this magnetic hydrogel-based cell patterning method is simple to perform and is a useful tool for tissue surrogate assembly for disease mechanism study and drug screening.  Copyright 2011, Mary Ann Liebert, Inc. 2011.","10.1089/ten.tec.2010.0690",38324,"Scopus","r"
